time,memavailable,memcache,memutil
2025-05-17 17:18:45,11736637.74288697,6019749.872328635,52.14288132125287
2025-05-17 17:19:00,11731384.648472557,6020314.039549415,51.93178184956012
2025-05-17 17:19:15,11723486.170758272,6020204.677327193,51.97165450826001
2025-05-17 17:19:30,11721373.958536047,6021272.609335005,52.01025173048224
2025-05-17 17:19:45,11717422.358536048,6021275.852971369,52.01325173048223
2025-05-17 17:20:00,11671807.484883573,6021599.883395611,52.16452245877355
2025-05-17 17:20:15,11571654.150106031,6021907.651979839,52.59406199237091
2025-05-17 17:20:30,11544687.64468094,6022100.6952814255,52.60084235632426
2025-05-17 17:20:45,11555406.804680938,6022145.708614759,52.67398749509561
2025-05-17 17:21:00,11556267.60468094,6022408.045757617,52.67514911125723
2025-05-17 17:21:15,11554290.04171175,6022738.367392514,52.73613516020396
