minutes,network_tcp_srtt_source,network_tcp_srtt_SRTT_cumulative,other_tcp_customersservice_customers_service,other_tcp_customersservice_source,other_tcp_visitsservice_visits_service,other_tcp_visitsservice_source
2080-11-30 12:22:30,CACHE_FILLING,4277.860173157037,,,0.0,CACHE_FILLING
2080-11-30 12:22:45,CACHE_FILLING,4334.485287067791,,,0.0,CACHE_FILLING
2080-11-30 12:23:00,CACHE_FILLING,4255.034188988178,,,0.0,CACHE_FILLING
2080-11-30 12:23:15,CACHE_FILLING,3905.071809218511,,,0.0,CACHE_FILLING
2080-11-30 12:23:30,CACHE_FILLING,3837.644911124144,,,0.0,CACHE_FILLING
2080-11-30 12:23:45,CACHE_FILLING,3822.9326015835454,,,0.0,CACHE_FILLING
2080-11-30 12:24:00,CACHE_FILLING,3884.736919386547,,,0.0,CACHE_FILLING
2080-11-30 12:24:15,CACHE_FILLING,3980.2263742606674,,,0.0,CACHE_FILLING
2080-11-30 12:24:30,CACHE_FILLING,4023.511822640437,,,0.0,CACHE_FILLING
2080-11-30 12:24:45,CACHE_FILLING,4004.5851116815,,,0.0,CACHE_FILLING
2080-11-30 12:25:00,CACHE_FILLING,3994.5972114549886,,,0.0,CACHE_FILLING
2080-11-30 12:25:15,CACHE_FILLING,3949.840595220972,,,0.0,CACHE_FILLING
2080-11-30 12:25:30,CACHE_FILLING,3922.602601904347,,,0.0,CACHE_FILLING
2080-11-30 12:25:45,CACHE_FILLING,3930.393749704344,,,0.0,CACHE_FILLING
2080-11-30 12:26:00,CACHE_FILLING,3970.052239023631,,,0.0,CACHE_FILLING
2080-11-30 12:26:15,CACHE_FILLING,4228.757200151078,,,0.0,CACHE_FILLING
2080-11-30 12:26:30,CACHE_FILLING,4289.512471932325,,,0.0,CACHE_FILLING
2080-11-30 12:26:45,CACHE_FILLING,4285.24175653187,,,0.0,CACHE_FILLING
2080-11-30 12:27:00,CACHE_FILLING,4290.792012816566,,,0.0,CACHE_FILLING
2080-11-30 12:27:15,CACHE_FILLING,4261.934080290565,,,0.0,CACHE_FILLING
2080-11-30 12:27:30,CACHE_FILLING,4297.082574863022,,,0.0,CACHE_FILLING
2080-11-30 12:27:45,CACHE_FILLING,4282.146331591657,,,0.0,CACHE_FILLING
2080-11-30 12:28:00,CACHE_FILLING,4276.563968292347,,,0.0,CACHE_FILLING
2080-11-30 12:28:15,CACHE_FILLING,4269.70742436516,,,0.0,CACHE_FILLING
2080-11-30 12:28:30,CACHE_FILLING,4253.557577116792,,,0.0,CACHE_FILLING
2080-11-30 12:28:45,CACHE_FILLING,4254.156061918861,,,0.0,CACHE_FILLING
