minutes,tcp_srtt_source,tcp_srtt_SRTT_cumulative
2025-05-17 16:48:00,THREADFULL,4462.546194614212
2025-05-17 16:48:15,THREADFULL,4300.661966200466
2025-05-17 16:48:30,THREADFULL,4281.496587301587
2025-05-17 16:48:45,THREADFULL,4416.632236235985
2025-05-17 16:49:00,THREADFULL,4394.31567651166
2025-05-17 16:49:15,THREADFULL,4444.256813603064
2025-05-17 16:49:30,THREADFULL,4408.616771645022
2025-05-17 16:49:45,THREADFULL,4489.144954365081
2025-05-17 16:50:00,THREADFULL,4540.787319444445
2025-05-17 16:50:15,THREADFULL,4793.835974796276
2025-05-17 16:50:30,THREADFULL,4900.367272304322
2025-05-17 16:50:45,THREADFULL,4776.0701203010985
2025-05-17 16:51:00,THREADFULL,4695.448897058823
2025-05-17 16:51:15,THREADFULL,4344.400977272729
2025-05-17 16:51:30,THREADFULL,4332.417881778616
2025-05-17 16:51:45,THREADFULL,4195.742087301589
2025-05-17 16:52:00,THREADFULL,3872.418464243274
2025-05-17 16:52:15,THREADFULL,3483.496252442003
2025-05-17 16:52:30,THREADFULL,3471.072634602113
2025-05-17 16:52:45,THREADFULL,3610.067316650741
2025-05-17 16:53:00,THREADFULL,3943.022922877848
2025-05-17 16:53:15,THREADFULL,4659.329662698412
2025-05-17 16:53:30,THREADFULL,4654.014846073516
2025-05-17 16:53:45,THREADFULL,4514.072651353874
2025-05-17 16:54:00,THREADFULL,4264.782848972924
2025-05-17 16:54:15,THREADFULL,3828.8510476190463
2025-05-17 16:54:30,THREADFULL,3765.327784632034
2025-05-17 16:54:45,THREADFULL,3846.509285602216
2025-05-17 16:55:00,THREADFULL,3854.377740906968
2025-05-17 16:55:15,THREADFULL,4067.1906121933625
2025-05-17 16:55:30,THREADFULL,3979.774444067967
2025-05-17 16:55:45,THREADFULL,3935.713818933261
2025-05-17 16:56:00,THREADFULL,3846.934284606853
2025-05-17 16:56:15,THREADFULL,3564.3215634920634
2025-05-17 16:56:30,THREADFULL,3553.129239631337
2025-05-17 16:56:45,THREADFULL,3741.0049799498743
2025-05-17 16:57:00,THREADFULL,3958.491716810966
2025-05-17 16:57:15,THREADFULL,4370.616745310246
2025-05-17 16:57:30,THREADFULL,4344.215484126984
2025-05-17 16:57:45,THREADFULL,4342.146334165834
2025-05-17 16:58:00,THREADFULL,4189.707648268397
2025-05-17 16:58:15,THREADFULL,3569.94011904762
2025-05-17 16:58:30,THREADFULL,3514.8117315184827
2025-05-17 16:58:45,THREADFULL,3593.656786976499
2025-05-17 16:59:00,THREADFULL,3728.6955924775702
2025-05-17 16:59:15,THREADFULL,3735.9936396103903
2025-05-17 16:59:30,THREADFULL,3769.063782911074
