Time,mem_available
2025-05-18 00:31:30,8666632
2025-05-18 00:31:45,8666632
2025-05-18 00:32:00,8666632
2025-05-18 00:32:15,8666632
2025-05-18 00:32:30,11676124
2025-05-18 00:32:45,11676124
2025-05-18 00:33:00,11676124
2025-05-18 00:33:15,11676124
2025-05-18 00:33:30,13507204
2025-05-18 00:33:45,13507204
2025-05-18 00:34:00,13507204
2025-05-18 00:34:15,13507204
2025-05-18 00:34:30,13830040
2025-05-18 00:34:45,13830040
2025-05-18 00:35:00,13830040
2025-05-18 00:35:15,13830040
2025-05-18 00:35:30,12533140
2025-05-18 00:35:45,12533140
2025-05-18 00:36:00,12533140
2025-05-18 00:36:15,12533140
2025-05-18 00:36:30,12550448
2025-05-18 00:36:45,12550448
2025-05-18 00:37:00,12550448
2025-05-18 00:37:15,12550448
2025-05-18 00:37:30,12535068
2025-05-18 00:37:45,12535068
2025-05-18 00:38:00,12535068
2025-05-18 00:38:15,12535068
2025-05-18 00:38:30,12533792
2025-05-18 00:38:45,12533792
2025-05-18 00:39:00,12533792
2025-05-18 00:39:15,12533792
2025-05-18 00:39:30,12532060
2025-05-18 00:39:45,12532060
2025-05-18 00:40:00,12532060
2025-05-18 00:40:15,12532060
2025-05-18 00:40:30,12531776
2025-05-18 00:40:45,12531776
2025-05-18 00:41:00,12531776
2025-05-18 00:41:15,12531776
2025-05-18 00:41:30,12520844
2025-05-18 00:41:45,12520844
2025-05-18 00:42:00,12520844
2025-05-18 00:42:15,12520844
2025-05-18 00:42:30,12519156
2025-05-18 00:42:45,12519156
2025-05-18 00:43:00,12519156
2025-05-18 00:43:15,12519156
2025-05-18 00:43:30,12517140
2025-05-18 00:43:45,12517140
2025-05-18 00:44:00,12517140
2025-05-18 00:44:15,12517140
2025-05-18 00:44:30,12524476
2025-05-18 00:44:45,12524476
2025-05-18 00:45:00,12524476
2025-05-18 00:45:15,12524476
2025-05-18 00:45:30,12506600
2025-05-18 00:45:45,12506600
2025-05-18 00:46:00,12506600
2025-05-18 00:46:15,12506600
2025-05-18 00:46:30,12497872
2025-05-18 00:46:45,12497872
2025-05-18 00:47:00,12497872
2025-05-18 00:47:15,12497872
2025-05-18 00:47:30,12503012
2025-05-18 00:47:45,12503012
2025-05-18 00:48:00,12503012
2025-05-18 00:48:15,12503012
2025-05-18 00:48:30,12489460
2025-05-18 00:48:45,12489460
2025-05-18 00:49:00,12489460
2025-05-18 00:49:15,12489460
2025-05-18 00:49:30,12495520
2025-05-18 00:49:45,12495520
2025-05-18 00:50:00,12495520
2025-05-18 00:50:15,12495520
2025-05-18 00:50:30,12512320
2025-05-18 00:50:45,12512320
2025-05-18 00:51:00,12512320
2025-05-18 00:51:15,12512320
2025-05-18 00:51:30,12511252
2025-05-18 00:51:45,12511252
2025-05-18 00:52:00,12511252
2025-05-18 00:52:15,12511252
2025-05-18 00:52:30,12479684
2025-05-18 00:52:45,12479684
2025-05-18 00:53:00,12479684
2025-05-18 00:53:15,12479684
2025-05-18 00:53:30,12505436
2025-05-18 00:53:45,12505436
2025-05-18 00:54:00,12505436
2025-05-18 00:54:15,12505436
2025-05-18 00:54:30,12496948
2025-05-18 00:54:45,12496948
2025-05-18 00:55:00,12496948
2025-05-18 00:55:15,12496948
2025-05-18 00:55:30,12480824
2025-05-18 00:55:45,12480824
2025-05-18 00:56:00,12480824
2025-05-18 00:56:15,12480824
2025-05-18 00:56:30,12312404
2025-05-18 00:56:45,12312404
2025-05-18 00:57:00,12312404
2025-05-18 00:57:15,12312404
2025-05-18 00:57:30,12318352
2025-05-18 00:57:45,12318352
2025-05-18 00:58:00,12318352
2025-05-18 00:58:15,12318352
2025-05-18 00:58:30,12302624
2025-05-18 00:58:45,12302624
2025-05-18 00:59:00,12302624
2025-05-18 00:59:15,12302624
2025-05-18 00:59:30,12303528
2025-05-18 00:59:45,12303528
2025-05-18 01:00:00,12303528
2025-05-18 01:00:15,12303528
2025-05-18 01:00:30,12075636
2025-05-18 01:00:45,12075636
2025-05-18 01:01:00,12075636
2025-05-18 01:01:15,12075636
2025-05-18 01:01:30,12101320
2025-05-18 01:01:45,12101320
2025-05-18 01:02:00,12101320
2025-05-18 01:02:15,12101320
2025-05-18 01:02:30,12111880
2025-05-18 01:02:45,12111880
2025-05-18 01:03:00,12111880
2025-05-18 01:03:15,12111880
2025-05-18 01:03:30,12105904
2025-05-18 01:03:45,12105904
2025-05-18 01:04:00,12105904
2025-05-18 01:04:15,12105904
2025-05-18 01:04:30,12135784
2025-05-18 01:04:45,12135784
2025-05-18 01:05:00,12135784
2025-05-18 01:05:15,12135784
2025-05-18 01:05:30,11619852
2025-05-18 01:05:45,11619852
2025-05-18 01:06:00,11619852
2025-05-18 01:06:15,11619852
2025-05-18 01:06:30,11629432
2025-05-18 01:06:45,11629432
