Time,mem_util
2025-05-21 22:02:30,55.0
2025-05-21 22:02:45,55.0
2025-05-21 22:03:00,55.0
2025-05-21 22:03:15,55.0
2025-05-21 22:03:30,56.3
2025-05-21 22:03:45,56.3
2025-05-21 22:04:00,56.3
2025-05-21 22:04:15,56.3
2025-05-21 22:04:30,55.0
2025-05-21 22:04:45,55.0
2025-05-21 22:05:00,55.0
2025-05-21 22:05:15,55.0
2025-05-21 22:05:30,54.9
2025-05-21 22:05:45,54.9
2025-05-21 22:06:00,54.9
2025-05-21 22:06:15,54.9
2025-05-21 22:06:30,55.1
2025-05-21 22:06:45,55.1
2025-05-21 22:07:00,55.1
2025-05-21 22:07:15,55.1
2025-05-21 22:07:30,56.8
2025-05-21 22:07:45,56.8
2025-05-21 22:08:00,56.8
2025-05-21 22:08:15,56.8
2025-05-21 22:08:30,56.7
2025-05-21 22:08:45,56.7
2025-05-21 22:09:00,56.7
2025-05-21 22:09:15,56.7
2025-05-21 22:09:30,54.7
2025-05-21 22:09:45,54.7
2025-05-21 22:10:00,54.7
2025-05-21 22:10:15,54.7
2025-05-21 22:10:30,50.4
2025-05-21 22:10:45,50.4
2025-05-21 22:11:00,50.4
2025-05-21 22:11:15,50.4
2025-05-21 22:11:30,45.8
2025-05-21 22:11:45,45.8
2025-05-21 22:12:00,45.8
2025-05-21 22:12:15,45.8
2025-05-21 22:12:30,54.7
2025-05-21 22:12:45,54.7
2025-05-21 22:13:00,54.7
2025-05-21 22:13:15,54.7
2025-05-21 22:13:30,44.6
2025-05-21 22:13:45,44.6
2025-05-21 22:14:00,44.6
2025-05-21 22:14:15,44.6
2025-05-21 22:14:30,55.4
2025-05-21 22:14:45,55.4
2025-05-21 22:15:00,55.4
2025-05-21 22:15:15,55.4
2025-05-21 22:15:30,53.6
2025-05-21 22:15:45,53.6
2025-05-21 22:16:00,53.6
2025-05-21 22:16:15,53.6
2025-05-21 22:16:30,54.8
2025-05-21 22:16:45,54.8
2025-05-21 22:17:00,54.8
2025-05-21 22:17:15,54.8
2025-05-21 22:17:30,51.8
2025-05-21 22:17:45,51.8
2025-05-21 22:18:00,51.8
2025-05-21 22:18:15,51.8
2025-05-21 22:18:30,51.0
2025-05-21 22:18:45,51.0
2025-05-21 22:19:00,51.0
2025-05-21 22:19:15,51.0
2025-05-21 22:19:30,54.9
2025-05-21 22:19:45,54.9
2025-05-21 22:20:00,54.9
2025-05-21 22:20:15,54.9
2025-05-21 22:20:30,53.5
2025-05-21 22:20:45,53.5
2025-05-21 22:21:00,53.5
2025-05-21 22:21:15,53.5
2025-05-21 22:21:30,53.6
2025-05-21 22:21:45,53.6
2025-05-21 22:22:00,53.6
2025-05-21 22:22:15,53.6
2025-05-21 22:22:30,46.2
2025-05-21 22:22:45,46.2
2025-05-21 22:23:00,46.2
2025-05-21 22:23:15,46.2
2025-05-21 22:23:30,47
2025-05-21 22:23:45,47
2025-05-21 22:24:00,47
2025-05-21 22:24:15,47
2025-05-21 22:24:30,49.3
2025-05-21 22:24:45,49.3
2025-05-21 22:25:00,49.3
2025-05-21 22:25:15,49.3
2025-05-21 22:25:30,56.7
2025-05-21 22:25:45,56.7
2025-05-21 22:26:00,56.7
2025-05-21 22:26:15,56.7
2025-05-21 22:26:30,51.9
2025-05-21 22:26:45,51.9
2025-05-21 22:27:00,51.9
2025-05-21 22:27:15,51.9
2025-05-21 22:27:30,50.5
2025-05-21 22:27:45,50.5
2025-05-21 22:28:00,50.5
2025-05-21 22:28:15,50.5
2025-05-21 22:28:30,48.0
2025-05-21 22:28:45,48.0
2025-05-21 22:29:00,48.0
2025-05-21 22:29:15,48.0
2025-05-21 22:29:30,55.0
2025-05-21 22:29:45,55.0
2025-05-21 22:30:00,55.0
2025-05-21 22:30:15,55.0
2025-05-21 22:30:30,55.1
2025-05-21 22:30:45,55.1
2025-05-21 22:31:00,55.1
2025-05-21 22:31:15,55.1
2025-05-21 22:31:30,52.4
2025-05-21 22:31:45,52.4
2025-05-21 22:32:00,52.4
2025-05-21 22:32:15,52.4
2025-05-21 22:32:30,50.7
2025-05-21 22:32:45,50.7
2025-05-21 22:33:00,50.7
2025-05-21 22:33:15,50.7
2025-05-21 22:33:30,52.5
2025-05-21 22:33:45,52.5
2025-05-21 22:34:00,52.5
2025-05-21 22:34:15,52.5
2025-05-21 22:34:30,51.7
2025-05-21 22:34:45,51.7
2025-05-21 22:35:00,51.7
2025-05-21 22:35:15,51.7
2025-05-21 22:35:30,52.9
2025-05-21 22:35:45,52.9
2025-05-21 22:36:00,52.9
2025-05-21 22:36:15,52.9
2025-05-21 22:36:30,55.2
2025-05-21 22:36:45,55.2
2025-05-21 22:37:00,55.2
2025-05-21 22:37:15,55.2
2025-05-21 22:37:30,55.2
2025-05-21 22:37:45,55.2
2025-05-21 22:38:00,55.2
2025-05-21 22:38:15,55.2
2025-05-21 22:38:30,55.3
2025-05-21 22:38:45,55.3
2025-05-21 22:39:00,55.3
2025-05-21 22:39:15,55.3
2025-05-21 22:39:30,55.3
2025-05-21 22:39:45,55.3
2025-05-21 22:40:00,55.3
2025-05-21 22:40:15,55.3
2025-05-21 22:40:30,55.1
2025-05-21 22:40:45,55.1
2025-05-21 22:41:00,55.1
2025-05-21 22:41:15,55.1
2025-05-21 22:41:30,55.2
2025-05-21 22:41:45,55.2
2025-05-21 22:42:00,55.2
2025-05-21 22:42:15,55.2
2025-05-21 22:42:30,57.7
2025-05-21 22:42:45,57.7
2025-05-21 22:43:00,57.7
2025-05-21 22:43:15,57.7
2025-05-21 22:43:30,56.3
2025-05-21 22:43:45,56.3
2025-05-21 22:44:00,56.3
2025-05-21 22:44:15,56.3
2025-05-21 22:44:30,56.4
2025-05-21 22:44:45,56.4
2025-05-21 22:45:00,56.4
2025-05-21 22:45:15,56.4
2025-05-21 22:45:30,56.4
2025-05-21 22:45:45,56.4
2025-05-21 22:46:00,56.4
2025-05-21 22:46:15,56.4
2025-05-21 22:46:30,56.4
2025-05-21 22:46:45,56.4
2025-05-21 22:47:00,56.4
2025-05-21 22:47:15,56.4
2025-05-21 22:47:30,56.4
2025-05-21 22:47:45,56.4
2025-05-21 22:48:00,56.4
2025-05-21 22:48:15,56.4
2025-05-21 22:48:30,56.4
2025-05-21 22:48:45,56.4
2025-05-21 22:49:00,56.4
2025-05-21 22:49:15,56.4
2025-05-21 22:49:30,56.5
2025-05-21 22:49:45,56.5
2025-05-21 22:50:00,56.5
2025-05-21 22:50:15,56.5
2025-05-21 22:50:30,56.6
2025-05-21 22:50:45,56.6
2025-05-21 22:51:00,56.6
2025-05-21 22:51:15,56.6
2025-05-21 22:51:30,56.7
2025-05-21 22:51:45,56.7
2025-05-21 22:52:00,56.7
2025-05-21 22:52:15,56.7
2025-05-21 22:52:30,59.7
2025-05-21 22:52:45,59.7
2025-05-21 22:53:00,59.7
2025-05-21 22:53:15,59.7
2025-05-21 22:53:30,59.7
2025-05-21 22:53:45,59.7
2025-05-21 22:54:00,59.7
2025-05-21 22:54:15,59.7
2025-05-21 22:54:30,59.7
2025-05-21 22:54:45,59.7
2025-05-21 22:55:00,59.7
2025-05-21 22:55:15,59.7
2025-05-21 22:55:30,59.7
2025-05-21 22:55:45,59.7
2025-05-21 22:56:00,59.7
2025-05-21 22:56:15,59.7
2025-05-21 22:56:30,59.7
2025-05-21 22:56:45,59.7
2025-05-21 22:57:00,59.7
2025-05-21 22:57:15,59.7
2025-05-21 22:57:30,59.8
2025-05-21 22:57:45,59.8
2025-05-21 22:58:00,59.8
2025-05-21 22:58:15,59.8
2025-05-21 22:58:30,59.8
2025-05-21 22:58:45,59.8
2025-05-21 22:59:00,59.8
2025-05-21 22:59:15,59.8
2025-05-21 22:59:30,51.2
2025-05-21 22:59:45,51.2
2025-05-21 23:00:00,51.2
2025-05-21 23:00:15,51.2
2025-05-21 23:00:30,56.3
2025-05-21 23:00:45,56.3
2025-05-21 23:01:00,56.3
2025-05-21 23:01:15,56.3
2025-05-21 23:01:30,59.5
2025-05-21 23:01:45,59.5
2025-05-21 23:02:00,59.5
2025-05-21 23:02:15,59.5
2025-05-21 23:02:30,59.6
2025-05-21 23:02:45,59.6
2025-05-21 23:03:00,59.6
2025-05-21 23:03:15,59.6
2025-05-21 23:03:30,59.5
2025-05-21 23:03:45,59.5
2025-05-21 23:04:00,59.5
2025-05-21 23:04:15,59.5
2025-05-21 23:04:30,59.5
2025-05-21 23:04:45,59.5
2025-05-21 23:05:00,59.5
2025-05-21 23:05:15,59.5
2025-05-21 23:05:30,59.6
2025-05-21 23:05:45,59.6
2025-05-21 23:06:00,59.6
2025-05-21 23:06:15,59.6
2025-05-21 23:06:30,59.8
2025-05-21 23:06:45,59.8
2025-05-21 23:07:00,59.8
2025-05-21 23:07:15,59.8
2025-05-21 23:07:30,58.7
2025-05-21 23:07:45,58.7
2025-05-21 23:08:00,58.7
2025-05-21 23:08:15,58.7
2025-05-21 23:08:30,57.7
2025-05-21 23:08:45,57.7
2025-05-21 23:09:00,57.7
2025-05-21 23:09:15,57.7
2025-05-21 23:09:30,58.7
2025-05-21 23:09:45,58.7
2025-05-21 23:10:00,58.7
2025-05-21 23:10:15,58.7
2025-05-21 23:10:30,57.3
2025-05-21 23:10:45,57.3
2025-05-21 23:11:00,57.3
2025-05-21 23:11:15,57.3
2025-05-21 23:11:30,54.4
2025-05-21 23:11:45,54.4
2025-05-21 23:12:00,54.4
2025-05-21 23:12:15,54.4
2025-05-21 23:12:30,47.9
2025-05-21 23:12:45,47.9
2025-05-21 23:13:00,47.9
2025-05-21 23:13:15,47.9
2025-05-21 23:13:30,49.1
2025-05-21 23:13:45,49.1
2025-05-21 23:14:00,49.1
2025-05-21 23:14:15,49.1
