Time,visits_service,source,Minutes
2025-05-17 17:23:30,0,OOM,52.0
2025-05-17 17:23:45,0,OOM,52.25
2025-05-17 17:24:00,0,OOM,52.5
2025-05-17 17:24:15,0,OOM,52.75
2025-05-17 17:24:30,0,OOM,53.0
2025-05-17 17:24:45,0,OOM,53.25
2025-05-17 17:25:00,0,OOM,53.5
2025-05-17 17:25:15,0,OOM,53.75
2025-05-17 17:25:30,0,OOM,54.0
2025-05-17 17:25:45,0,OOM,54.25
2025-05-17 17:26:00,0,OOM,54.5
2025-05-17 17:26:15,0,OOM,54.75
2025-05-17 17:26:30,0,OOM,55.0
2025-05-17 17:26:45,0,OOM,55.25
2025-05-17 17:27:00,0,OOM,55.5
2025-05-17 17:27:15,0,OOM,55.75
2025-05-17 17:27:30,0,OOM,56.0
2025-05-17 17:27:45,0,OOM,56.25
2025-05-17 17:28:00,0,OOM,56.5
2025-05-17 17:28:15,0,OOM,56.75
2025-05-17 17:28:30,0,OOM,57.0
2025-05-17 17:28:45,0,OOM,57.25
2025-05-17 17:29:00,0,OOM,57.5
2025-05-17 17:29:15,0,OOM,57.75
2025-05-17 17:29:30,0,OOM,58.0
2025-05-17 17:29:45,0,OOM,58.25
2025-05-17 17:30:00,0,OOM,58.5
2025-05-17 17:30:15,0,OOM,58.75
2025-05-17 17:30:30,0,OOM,59.0
2025-05-17 17:30:45,0,OOM,59.25
2025-05-17 17:31:00,0,OOM,59.5
2025-05-17 17:31:15,0,OOM,59.75
2025-05-17 17:31:30,0,OOM,60.0
2025-05-17 17:31:45,0,OOM,60.25
2025-05-17 17:32:00,0,OOM,60.5
2025-05-17 17:32:15,0,OOM,60.75
2025-05-17 17:32:30,0,OOM,61.0
2025-05-17 17:32:45,0,OOM,61.25
2025-05-17 17:33:00,0,OOM,61.5
2025-05-17 17:33:15,0,OOM,61.75
2025-05-17 17:33:30,0,OOM,62.0
2025-05-17 17:33:45,0,OOM,62.25
2025-05-17 17:34:00,0,OOM,62.5
2025-05-17 17:34:15,0,OOM,62.75
2025-05-17 17:34:30,0,OOM,63.0
2025-05-17 17:34:45,0,OOM,63.25
2025-05-17 17:35:00,0,OOM,63.5
2025-05-17 17:35:15,0,OOM,63.75
2025-05-17 17:35:30,0,OOM,64.0
2025-05-17 17:35:45,0,OOM,64.25
2025-05-17 17:36:00,0,OOM,64.5
2025-05-17 17:36:15,0,OOM,64.75
2025-05-17 17:36:30,0,OOM,65.0
2025-05-17 17:36:45,0,OOM,65.25
