minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes
5.75,5,5,8,8,8,3,6,1,0,0,CPU_STRESS,5.75,262,304,300,300,315,292,267,272,0,0,CPU_STRESS,5.75,1175,1233,1402,1355,1320,1236,1242,1307,0,0,CPU_STRESS,5.75,11671,12695,12367,11456,13513,12879,12363,12161,0,0,CPU_STRESS,5.75,21.99101025641026,23.51407817460317,23.838023520923528,22.605062337662336,25.93596782531194,23.164013095564563,23.631800865800862,23.469848015873016,0,0,CPU_STRESS,5.75
6.0,5,5,8,0,8,3,0,1,0,0,CPU_STRESS,6.0,268,312,338,301,316,301,275,278,0,0,CPU_STRESS,6.0,1166,1374,1538,1410,1425,1388,1284,1328,0,0,CPU_STRESS,6.0,11924,12996,13203,12586,14054,13501,12467,12343,0,0,CPU_STRESS,6.0,22.880686446886447,25.219611075036056,25.385938095238107,24.39001850649351,26.928718394187516,26.338217134173025,23.86591753246752,23.950748015873017,0,0,CPU_STRESS,6.0
6.25,5,5,8,0,8,3,0,1,0,0,CPU_STRESS,6.25,274,321,348,301,317,308,285,288,0,0,CPU_STRESS,6.25,1175,1389,1558,1422,1455,1410,1309,1328,0,0,CPU_STRESS,6.25,12284,13508,13517,13258,14599,14094,12828,12662,0,0,CPU_STRESS,6.25,23.478100335775338,26.07062038239537,26.24911547619049,25.296086363636363,27.33885513653013,27.6008649887694,24.12274448051947,24.348507539682547,0,0,CPU_STRESS,6.25
6.5,5,5,8,3,8,3,2,1,0,0,CPU_STRESS,6.5,274,328,351,302,318,310,289,297,0,0,CPU_STRESS,6.5,1183,1385,1539,1425,1455,1410,1329,1325,0,0,CPU_STRESS,6.5,12274,13563,13927,13438,14472,13966,12971,12943,0,0,CPU_STRESS,6.5,23.56062176434677,26.36376443001443,26.70528896103897,25.75505833333333,27.3009268964369,27.07673929958929,24.374179978354963,24.610896367521377,0,0,CPU_STRESS,6.5
6.75,5,5,8,2,8,3,2,1,0,0,CPU_STRESS,6.75,276,330,351,302,318,310,290,300,0,0,CPU_STRESS,6.75,1185,1385,1539,1425,1458,1411,1330,1325,0,0,CPU_STRESS,6.75,12412,13847,13987,13480,14472,14243,13072,12999,0,0,CPU_STRESS,6.75,24.08950912698413,26.759566810966813,26.74578896103897,26.223472619047627,27.374193166278165,27.18630828615828,24.544509740259727,24.830929700854707,0,0,CPU_STRESS,6.75
7.0,5,5,8,2,8,3,1,2,0,0,CPU_STRESS,7.0,278,336,350,303,316,311,295,304,0,0,CPU_STRESS,7.0,1197,1385,1525,1419,1459,1411,1342,1324,0,0,CPU_STRESS,7.0,13696,15011,14131,13777,14502,14638,13193,13126,0,0,CPU_STRESS,7.0,25.25935198412697,27.769537012987023,26.89245562770564,26.54558928571428,27.50848102629396,27.42095851925852,25.35092878787878,25.35115311355312,0,0,CPU_STRESS,7.0
7.25,5,2,4,9,0,7,1,9,0,0,CPU_STRESS,7.25,287,361,343,310,313,311,306,307,0,0,CPU_STRESS,7.25,1294,1372,1426,1319,1462,1405,1415,1317,0,0,CPU_STRESS,7.25,14168,15611,14644,15303,14528,14874,13742,13818,0,0,CPU_STRESS,7.25,26.805401190476186,29.428496212121203,27.793959199134207,28.33713412698412,27.66223298267092,27.932296573850987,26.244278968253976,26.794184523809523,0,0,CPU_STRESS,7.25
7.5,5,0,3,9,0,7,1,9,0,0,CPU_STRESS,7.5,293,369,341,316,314,311,314,306,0,0,CPU_STRESS,7.5,1304,1363,1408,1302,1461,1396,1420,1316,0,0,CPU_STRESS,7.5,14294,15974,14829,15825,14757,14977,13965,14849,0,0,CPU_STRESS,7.5,27.42513214285714,30.445310714285707,28.4304341991342,29.166749603174598,28.370914359627296,28.52575988553929,27.10512380952381,28.118325793650783,0,0,CPU_STRESS,7.5
7.75,5,0,4,8,1,8,1,7,0,0,CPU_STRESS,7.75,296,364,342,322,317,313,319,310,0,0,CPU_STRESS,7.75,1311,1369,1398,1317,1454,1368,1421,1316,0,0,CPU_STRESS,7.75,14407,16074,15117,15981,15302,15025,14735,15163,0,0,CPU_STRESS,7.75,27.4535261904762,30.929658261183253,28.8385711038961,29.88323849206349,29.23236583870377,28.779365628815626,28.210113888888888,28.629665559440564,0,0,CPU_STRESS,7.75
8.0,10,0,4,8,1,8,1,7,0,0,CPU_STRESS,8.0,296,364,343,325,338,314,321,310,0,0,CPU_STRESS,8.0,1309,1369,1398,1320,1451,1364,1421,1317,0,0,CPU_STRESS,8.0,14507,16943,15310,16188,15964,15196,15066,15524,0,0,CPU_STRESS,8.0,27.490792857142864,31.2318665945166,29.2798961038961,31.348678571428568,30.053709573563676,28.868066819291816,28.790038888888883,29.346382226107234,0,0,CPU_STRESS,8.0
