minutes,memavailable_mem_available,memavailable_source,memavailable_Minutes,memcache_mem_cache,memcache_source,memcache_Minutes,memory_mem_available,memory_source,memory_Minutes,memory_mem_cache,memory_source,memory_Minutes,memory_mem_util,memory_source,memory_Minutes,memutil_mem_util,memutil_source,memutil_Minutes
9.25,14859669.136722405,MEM_STRESS,9.25,4061269.8753001946,MEM_STRESS,9.25,14856028,MEM_STRESS,9.25,4061191,MEM_STRESS,9.25,39.58346666666662,MEM_STRESS,9.25,39.58258606770421,MEM_STRESS,9.25
9.5,14859026.299285172,MEM_STRESS,9.5,4061646.901489398,MEM_STRESS,9.5,14851708,MEM_STRESS,9.5,4061614,MEM_STRESS,9.5,39.60379999999995,MEM_STRESS,9.5,39.610967885886026,MEM_STRESS,9.5
9.75,14840602.408468954,MEM_STRESS,9.75,4062291.839510653,MEM_STRESS,9.75,14840589,MEM_STRESS,9.75,4061753,MEM_STRESS,9.75,39.57896666666662,MEM_STRESS,9.75,39.69683318872045,MEM_STRESS,9.75
10.0,14841168.648468954,MEM_STRESS,10.0,4062305.502367796,MEM_STRESS,10.0,14841079,MEM_STRESS,10.0,4061908,MEM_STRESS,10.0,39.531966666666655,MEM_STRESS,10.0,39.7025276331649,MEM_STRESS,10.0
10.25,14860848.154793108,MEM_STRESS,10.25,4063119.0221102894,MEM_STRESS,10.25,14853471,MEM_STRESS,10.25,4063034,MEM_STRESS,10.25,39.53363333333332,MEM_STRESS,10.25,39.61972649949465,MEM_STRESS,10.25
10.5,14859182.802533366,MEM_STRESS,10.5,4063348.653379706,MEM_STRESS,10.5,14849497,MEM_STRESS,10.5,4063751,MEM_STRESS,10.5,39.53229999999999,MEM_STRESS,10.5,39.60371830213644,MEM_STRESS,10.5
10.75,14810021.822577648,MEM_STRESS,10.75,4063486.782226107,MEM_STRESS,10.75,14810947,MEM_STRESS,10.75,4063393,MEM_STRESS,10.75,39.70513333333335,MEM_STRESS,10.75,39.71147150927504,MEM_STRESS,10.75
11.0,14764230.23505506,MEM_STRESS,11.0,4063510.102226107,MEM_STRESS,11.0,14781720,MEM_STRESS,11.0,4063452,MEM_STRESS,11.0,40.12633333333338,MEM_STRESS,11.0,39.80913884226884,MEM_STRESS,11.0
11.25,14653740.300887322,MEM_STRESS,11.25,4064985.534637013,MEM_STRESS,11.25,14656666,MEM_STRESS,11.25,4065016,MEM_STRESS,11.25,40.36300000000005,MEM_STRESS,11.25,40.31867486947693,MEM_STRESS,11.25
11.5,14620178.203941949,MEM_STRESS,11.5,4065817.900991317,MEM_STRESS,11.5,14607853,MEM_STRESS,11.5,4066033,MEM_STRESS,11.5,40.464000000000055,MEM_STRESS,11.5,40.51893709679211,MEM_STRESS,11.5
11.75,14599647.176598048,MEM_STRESS,11.75,4066205.45998634,MEM_STRESS,11.75,14576435,MEM_STRESS,11.75,4066131,MEM_STRESS,11.75,40.43000000000006,MEM_STRESS,11.75,40.64296693362195,MEM_STRESS,11.75
12.0,14599647.176598048,MEM_STRESS,12.0,4066205.45998634,MEM_STRESS,12.0,14572830,MEM_STRESS,12.0,4066142,MEM_STRESS,12.0,40.43900000000005,MEM_STRESS,12.0,40.648756793761805,MEM_STRESS,12.0
12.25,14534578.57292772,MEM_STRESS,12.25,4066350.993386273,MEM_STRESS,12.25,14538378,MEM_STRESS,12.25,4066280,MEM_STRESS,12.25,41.00800000000007,MEM_STRESS,12.25,40.67496512709515,MEM_STRESS,12.25
12.5,14417442.96246176,MEM_STRESS,12.5,4068024.8474080097,MEM_STRESS,12.5,14463356,MEM_STRESS,12.5,4067826,MEM_STRESS,12.5,41.323000000000064,MEM_STRESS,12.5,41.230740649087736,MEM_STRESS,12.5
12.75,14391639.715881672,MEM_STRESS,12.75,4068238.469561856,MEM_STRESS,12.75,14413288,MEM_STRESS,12.75,4068436,MEM_STRESS,12.75,41.41100000000005,MEM_STRESS,12.75,41.52603988401948,MEM_STRESS,12.75
13.0,14369511.26491562,MEM_STRESS,13.0,4064870.972458626,MEM_STRESS,13.0,14353408,MEM_STRESS,13.0,4065649,MEM_STRESS,13.0,41.46933333333337,MEM_STRESS,13.0,41.65114919782659,MEM_STRESS,13.0
13.25,14324003.448347855,MEM_STRESS,13.25,4064938.402458626,MEM_STRESS,13.25,14340495,MEM_STRESS,13.25,4065930,MEM_STRESS,13.25,41.864,MEM_STRESS,13.25,41.70411717706958,MEM_STRESS,13.25
13.5,14232432.47138672,MEM_STRESS,13.5,4065145.036121481,MEM_STRESS,13.5,14269552,MEM_STRESS,13.5,4067461,MEM_STRESS,13.5,41.997999999999976,MEM_STRESS,13.5,41.9501853963503,MEM_STRESS,13.5
13.75,14181334.253333332,MEM_STRESS,13.75,4070912.701257124,MEM_STRESS,13.75,14207566,MEM_STRESS,13.75,4068607,MEM_STRESS,13.75,42.21199999999997,MEM_STRESS,13.75,42.31184910081748,MEM_STRESS,13.75
14.0,14046798.165430175,MEM_STRESS,14.0,4069780.591726352,MEM_STRESS,14.0,14065963,MEM_STRESS,14.0,4066186,MEM_STRESS,14.0,42.69000000000005,MEM_STRESS,14.0,42.59246902133814,MEM_STRESS,14.0
14.25,14047243.600814408,MEM_STRESS,14.25,4071988.984898728,MEM_STRESS,14.25,14048319,MEM_STRESS,14.25,4071403,MEM_STRESS,14.25,42.79500000000007,MEM_STRESS,14.25,42.833975580057206,MEM_STRESS,14.25
