Time,connection_1,connection_2,connection_3
2025-05-19 00:06:45,,,0,0
2025-05-19 00:07:00,,,0,0
2025-05-19 00:07:15,,,0,0
2025-05-19 00:07:30,,,0,0
2025-05-19 00:07:45,,,0,0
2025-05-19 00:08:00,,,,0
2025-05-19 00:08:15,,,,0
2025-05-19 00:08:30,,,,0
2025-05-19 00:08:45,,,,0
2025-05-19 00:09:00,,,,0
2025-05-19 00:09:15,,,,0
2025-05-19 00:09:30,,0,,0
2025-05-19 00:09:45,,0,,0
2025-05-19 00:10:00,,0,,0
2025-05-19 00:10:15,,0,,0
2025-05-19 00:10:30,,6,,0
2025-05-19 00:10:45,,6,,0
2025-05-19 00:11:00,,6,,0
2025-05-19 00:11:15,,6,,0
2025-05-19 00:11:30,,2,,0
2025-05-19 00:11:45,,2,,0
2025-05-19 00:12:00,,2,,0
2025-05-19 00:12:15,,2,,0
2025-05-19 00:12:30,,0,,0
2025-05-19 00:12:45,,0,,0
2025-05-19 00:13:00,,0,,0
2025-05-19 00:13:15,,0,,0
2025-05-19 00:13:30,,0,,0
2025-05-19 00:13:45,,0,,0
2025-05-19 00:14:00,,0,,0
2025-05-19 00:14:15,,0,,0
2025-05-19 00:14:30,,0,,0
2025-05-19 00:14:45,,0,,0
2025-05-19 00:15:00,,0,,0
2025-05-19 00:15:15,,0,,0
2025-05-19 00:15:30,,0,,0
2025-05-19 00:15:45,,0,,0
2025-05-19 00:16:00,,0,,0
2025-05-19 00:16:15,,0,,0
2025-05-19 00:16:30,,0,,0
2025-05-19 00:16:45,,0,,0
2025-05-19 00:17:00,,0,,0
2025-05-19 00:17:15,,0,,0
2025-05-19 00:17:30,,,,0
2025-05-19 00:17:45,,,,0
2025-05-19 00:18:00,,,,0
2025-05-19 00:18:15,,,,0
2025-05-19 00:18:30,,,,0
2025-05-19 00:18:45,,,,0
2025-05-19 00:19:00,,,,0
2025-05-19 00:19:15,,,,0
2025-05-19 00:19:30,,0,,0
2025-05-19 00:19:45,,0,,0
2025-05-19 00:20:00,,0,,0
2025-05-19 00:20:15,,0,,0
2025-05-19 00:20:30,,0,,0
2025-05-19 00:20:45,,0,,0
2025-05-19 00:21:00,,0,,0
2025-05-19 00:21:15,,0,,0
2025-05-19 00:21:30,,0,,0
2025-05-19 00:21:45,,0,,0
2025-05-19 00:22:00,,0,,0
2025-05-19 00:22:15,,0,,0
2025-05-19 00:22:30,,0,,0
2025-05-19 00:22:45,,0,,0
2025-05-19 00:23:00,,0,,0
2025-05-19 00:23:15,,0,,0
2025-05-19 00:23:30,,0,,0
2025-05-19 00:23:45,,0,,0
2025-05-19 00:24:00,,0,,0
2025-05-19 00:24:15,,0,,0
2025-05-19 00:24:30,,0,,0
2025-05-19 00:24:45,,0,,0
2025-05-19 00:25:00,,0,,0
2025-05-19 00:25:15,,0,,0
2025-05-19 00:25:30,,0,,0
2025-05-19 00:25:45,,0,,0
2025-05-19 00:26:00,,0,,0
2025-05-19 00:26:15,,0,,0
2025-05-19 00:26:30,,0,,0
2025-05-19 00:26:45,,0,,0
2025-05-19 00:27:00,,0,,0
2025-05-19 00:27:15,,0,,0
2025-05-19 00:27:30,,,,0
2025-05-19 00:27:45,,,,0
2025-05-19 00:28:00,,,,0
2025-05-19 00:28:15,,,,0
2025-05-19 00:28:30,,,,0
2025-05-19 00:28:45,,,,0
2025-05-19 00:29:00,,,,0
2025-05-19 00:29:15,,,,0
2025-05-19 00:29:30,,,,0
2025-05-19 00:29:45,,,,0
2025-05-19 00:30:00,,,,0
2025-05-19 00:30:15,,,,0
2025-05-19 00:30:30,,,,0
2025-05-19 00:30:45,,,0,0
2025-05-19 00:31:00,,,0,0
2025-05-19 00:31:15,,,0,0
2025-05-19 00:31:30,,,0,0
2025-05-19 00:31:45,,,0,0
2025-05-19 00:32:00,,,0,0
2025-05-19 00:32:15,,,0,0
2025-05-19 00:32:30,,,0,0
2025-05-19 00:32:45,,,0,0
2025-05-19 00:33:00,,,0,0
2025-05-19 00:33:15,,,0,0
2025-05-19 00:33:30,,,0,0
2025-05-19 00:33:45,,,0,0
2025-05-19 00:34:00,,,0,0
2025-05-19 00:34:15,,,0,0
2025-05-19 00:34:30,,,0,0
2025-05-19 00:34:45,,,0,0
2025-05-19 00:35:00,,,0,0
2025-05-19 00:35:15,,,0,0
2025-05-19 00:35:30,,0,0,0
2025-05-19 00:35:45,,0,,0
