"Time","cpu 0","cpu 1","cpu 2","cpu 3","cpu 4","cpu 5","cpu 6","cpu }","cpu 8","cpu 9"
2025-05-12 16:48:00,10,10,0,0,10,10,10,10,0,0
2025-05-12 16:48:15,10,10,0,0,10,10,10,10,0,0
2025-05-12 16:48:30,10,0,0,10,10,0,10,0,0,0
2025-05-12 16:48:45,10,0,0,10,10,0,10,0,0,0
2025-05-12 16:49:00,10,0,0,10,10,0,10,0,0,0
2025-05-12 16:49:15,10,0,0,10,10,0,10,0,0,0
2025-05-12 16:49:30,10,0,10,0,10,10,10,10,0,0
2025-05-12 16:49:45,10,0,10,0,10,10,10,10,0,0
2025-05-12 16:50:00,10,0,10,0,10,10,10,10,0,0
2025-05-12 16:50:15,10,0,10,0,10,10,10,10,0,0
2025-05-12 16:50:30,0,0,10,20,10,0,0,0,0,0
2025-05-12 16:50:45,0,0,10,20,10,0,0,0,0,0
2025-05-12 16:51:00,0,0,10,20,10,0,0,0,0,0
2025-05-12 16:51:15,0,0,10,20,10,0,0,0,0,0
2025-05-12 16:51:30,10,0,10,0,0,10,10,10,0,0
2025-05-12 16:51:45,10,0,10,0,0,10,10,10,0,0
2025-05-12 16:52:00,10,0,10,0,0,10,10,10,0,0
2025-05-12 16:52:15,10,0,10,0,0,10,10,10,0,0
2025-05-12 16:52:30,0,10,0,0,10,10,10,0,0,0
2025-05-12 16:52:45,0,10,0,0,10,10,10,0,0,0
2025-05-12 16:53:00,0,10,0,0,10,10,10,0,0,0
2025-05-12 16:53:15,0,10,0,0,10,10,10,0,0,0
2025-05-12 16:53:30,10,0,10,0,0,10,10,10,0,0
2025-05-12 16:53:45,10,0,10,0,0,10,10,10,0,0
2025-05-12 16:54:00,10,0,10,0,0,10,10,10,0,0
2025-05-12 16:54:15,10,0,10,0,0,10,10,10,0,0
2025-05-12 16:54:30,0,0,0,10,20,10,0,10,0,0
2025-05-12 16:54:45,0,0,0,10,20,10,0,10,0,0
