Time,write_bytes_cumulative
2025-05-17 17:23:15,1945
2025-05-17 17:23:30,1945
2025-05-17 17:23:45,1945
2025-05-17 17:24:00,1945
2025-05-17 17:24:15,1945
2025-05-17 17:24:30,1945
2025-05-17 17:24:45,1945
2025-05-17 17:25:00,1945
2025-05-17 17:25:15,1945
2025-05-17 17:25:30,1945
2025-05-17 17:25:45,1945
2025-05-17 17:26:00,1945
2025-05-17 17:26:15,1945
2025-05-17 17:26:30,1945
2025-05-17 17:26:45,1945
2025-05-17 17:27:00,1945
2025-05-17 17:27:15,1945
2025-05-17 17:27:30,1945
2025-05-17 17:27:45,1945
2025-05-17 17:28:00,1945
2025-05-17 17:28:15,1945
2025-05-17 17:28:30,1883
2025-05-17 17:28:45,1883
2025-05-17 17:29:00,1883
2025-05-17 17:29:15,1883
2025-05-17 17:29:30,1883
2025-05-17 17:29:45,1883
2025-05-17 17:30:00,1883
2025-05-17 17:30:15,1883
2025-05-17 17:30:30,1883
2025-05-17 17:30:45,1883
2025-05-17 17:31:00,38747
2025-05-17 17:31:15,87899
2025-05-17 17:31:30,2250587
2025-05-17 17:31:45,2497821
2025-05-17 17:32:00,2502491
2025-05-17 17:32:15,1825107
2025-05-17 17:32:30,138075
2025-05-17 17:32:45,124025
2025-05-17 17:33:00,4955
2025-05-17 17:33:15,5979
2025-05-17 17:33:30,5979
2025-05-17 17:33:45,5979
2025-05-17 17:34:00,5979
2025-05-17 17:34:15,5979
2025-05-17 17:34:30,3931
2025-05-17 17:34:45,1883
2025-05-17 17:35:00,1883
2025-05-17 17:35:15,1883
2025-05-17 17:35:30,5979
2025-05-17 17:35:45,10075
2025-05-17 17:36:00,10075
2025-05-17 17:36:15,3907
2025-05-17 17:36:30,3459
2025-05-17 17:36:45,3404
2025-05-17 17:37:00,2563
2025-05-17 17:37:15,2690
2025-05-17 17:37:30,1945
2025-05-17 17:37:45,1945
2025-05-17 17:38:00,1945
2025-05-17 17:38:15,1945
2025-05-17 17:38:30,1945
2025-05-17 17:38:45,1945
2025-05-17 17:39:00,1945
2025-05-17 17:39:15,1945
2025-05-17 17:39:30,1945
2025-05-17 17:39:45,1945
2025-05-17 17:40:00,1945
2025-05-17 17:40:15,1945
2025-05-17 17:40:30,1945
2025-05-17 17:40:45,1945
2025-05-17 17:41:00,1945
2025-05-17 17:41:15,1945
2025-05-17 17:41:30,1945
2025-05-17 17:41:45,1945
2025-05-17 17:42:00,1945
2025-05-17 17:42:15,1945
2025-05-17 17:42:30,1945
2025-05-17 17:42:45,1945
2025-05-17 17:43:00,1945
2025-05-17 17:43:15,1945
2025-05-17 17:43:30,1945
2025-05-17 17:43:45,1945
2025-05-17 17:44:00,1945
2025-05-17 17:44:15,1945
2025-05-17 17:44:30,1945
2025-05-17 17:44:45,1945
2025-05-17 17:45:00,1945
2025-05-17 17:45:15,1945
2025-05-17 17:45:30,1945
2025-05-17 17:45:45,1945
2025-05-17 17:46:00,1945
2025-05-17 17:46:15,1945
2025-05-17 17:46:30,1945
2025-05-17 17:46:45,1945
2025-05-17 17:47:00,1945
2025-05-17 17:47:15,1945
2025-05-17 17:47:30,1945
2025-05-17 17:47:45,1945
2025-05-17 17:48:00,1945
2025-05-17 17:48:15,1945
2025-05-17 17:48:30,1945
2025-05-17 17:48:45,1945
2025-05-17 17:49:00,1945
2025-05-17 17:49:15,1945
2025-05-17 17:49:30,1945
