Time,mem_cache,source,Minutes
2025-05-17 18:01:15,5823975.330749046,BASELINE,61.75
2025-05-17 18:01:30,5824266.9022499025,BASELINE,62.0
2025-05-17 18:01:45,5826253.604719583,BASELINE,62.25
2025-05-17 18:02:00,5826415.323756207,BASELINE,62.5
2025-05-17 18:02:15,5826385.277917493,BASELINE,62.75
2025-05-17 18:02:30,5826428.5516317785,BASELINE,63.0
2025-05-17 18:02:45,5826792.471488668,BASELINE,63.25
2025-05-17 18:03:00,5826852.9333395995,BASELINE,63.5
2025-05-17 18:03:15,5824596.113031861,BASELINE,63.75
2025-05-17 18:03:30,5824713.161005166,BASELINE,64.0
2025-05-17 18:03:45,5824894.343652162,BASELINE,64.25
2025-05-17 18:04:00,5827099.046707864,BASELINE,64.5
2025-05-17 18:04:15,5827056.263043259,BASELINE,64.75
2025-05-17 18:04:30,5827131.959233735,BASELINE,65.0
2025-05-17 18:04:45,5827342.2694606865,BASELINE,65.25
2025-05-17 18:05:00,5827426.783619416,BASELINE,65.5
2025-05-17 18:05:15,5827183.081336629,BASELINE,65.75
2025-05-17 18:05:30,5826940.015908057,BASELINE,66.0
2025-05-17 18:05:45,5827725.31341313,BASELINE,66.25
2025-05-17 18:06:00,5827958.109448219,BASELINE,66.5
2025-05-17 18:06:15,5827551.162408637,BASELINE,66.75
2025-05-17 18:06:30,5827959.541024707,BASELINE,67.0
2025-05-17 18:06:45,5828735.56097362,BASELINE,67.25
2025-05-17 18:07:00,5829274.938447806,BASELINE,67.5
2025-05-17 18:07:15,5829608.797793541,BASELINE,67.75
2025-05-17 18:07:30,5829700.929831636,BASELINE,68.0
2025-05-17 18:07:45,5829956.9050993845,BASELINE,68.25
2025-05-17 18:08:00,5830123.2353216065,BASELINE,68.5
2025-05-17 18:08:15,5830002.595499693,BASELINE,68.75
2025-05-17 18:08:30,5830201.037601394,BASELINE,69.0
2025-05-17 18:08:45,5830344.159205532,BASELINE,69.25
2025-05-17 18:09:00,5830474.532290919,BASELINE,69.5
2025-05-17 18:09:15,5830755.968564543,BASELINE,69.75
2025-05-17 18:09:30,5830892.980638134,BASELINE,70.0
2025-05-17 18:09:45,5830663.074864835,BASELINE,70.25
2025-05-17 18:10:00,5830899.433854004,BASELINE,70.5
2025-05-17 18:10:15,5831343.686942019,BASELINE,70.75
2025-05-17 18:10:30,5831375.056942019,BASELINE,71.0
2025-05-17 18:10:45,5831766.236289762,BASELINE,71.25
2025-05-17 18:11:00,5831833.928865519,BASELINE,71.5
2025-05-17 18:11:15,5831531.307006731,BASELINE,71.75
2025-05-17 18:11:30,5831590.30310197,BASELINE,72.0
2025-05-17 18:11:45,5831473.5166387465,BASELINE,72.25
2025-05-17 18:12:00,5831499.323305412,BASELINE,72.5
2025-05-17 18:12:15,5831770.229800382,BASELINE,72.75
2025-05-17 18:12:30,5831983.20204951,BASELINE,73.0
2025-05-17 18:12:45,5832003.8400618,BASELINE,73.25
2025-05-17 18:13:00,5831995.445462869,BASELINE,73.5
2025-05-17 18:13:15,5832851.695367405,BASELINE,73.75
2025-05-17 18:13:30,5832880.386224549,BASELINE,74.0
2025-05-17 18:13:45,5833228.387351203,BASELINE,74.25
2025-05-17 18:14:00,5833296.086817869,BASELINE,74.5
2025-05-17 18:14:15,5833146.03107529,BASELINE,74.75
2025-05-17 18:14:30,5833229.30823402,BASELINE,75.0
2025-05-17 18:14:45,5833405.920212984,BASELINE,75.25
2025-05-17 18:15:00,5833574.769281004,BASELINE,75.5
2025-05-17 18:15:15,5833827.794806345,BASELINE,75.75
2025-05-17 18:15:30,5833994.208291523,BASELINE,76.0
2025-05-17 18:15:45,5833852.3079532115,BASELINE,76.25
2025-05-17 18:16:00,5833884.781286543,BASELINE,76.5
2025-05-17 18:16:15,5834132.965585229,BASELINE,76.75
2025-05-17 18:16:30,5834269.471746754,BASELINE,77.0
2025-05-17 18:16:45,5834166.029665066,BASELINE,77.25
2025-05-17 18:17:00,5834253.729188875,BASELINE,77.5
2025-05-17 18:17:15,5834452.252505217,BASELINE,77.75
2025-05-17 18:17:30,5831534.887028391,BASELINE,78.0
2025-05-17 18:17:45,5832350.082996325,BASELINE,78.25
2025-05-17 18:18:00,5821826.1232252745,BASELINE,78.5
2025-05-17 18:18:15,5829614.616370979,BASELINE,78.75
2025-05-17 18:18:30,5835883.141210469,BASELINE,79.0
2025-05-17 18:18:45,5835679.196371095,BASELINE,79.25
2025-05-17 18:19:00,5835761.3039583955,BASELINE,79.5
2025-05-17 18:19:15,5836144.662692431,BASELINE,79.75
2025-05-17 18:19:30,5836247.923847082,BASELINE,80.0
2025-05-17 18:19:45,5835933.257103697,BASELINE,80.25
2025-05-17 18:20:00,5834734.999220913,BASELINE,80.5
2025-05-17 18:20:15,5835509.869496926,BASELINE,80.75
2025-05-17 18:20:30,5836015.854610021,BASELINE,81.0
2025-05-17 18:20:45,5835691.004663564,BASELINE,81.25
2025-05-17 18:21:00,5835785.884663564,BASELINE,81.5
2025-05-17 18:21:15,5836630.75563711,BASELINE,81.75
2025-05-17 18:21:30,5837659.103425741,BASELINE,82.0
2025-05-17 18:21:45,5837873.923185975,BASELINE,82.25
2025-05-17 18:22:00,5837908.086201849,BASELINE,82.5
2025-05-17 18:22:15,5838270.221155208,BASELINE,82.75
2025-05-17 18:22:30,5838397.624891746,BASELINE,83.0
2025-05-17 18:22:45,5838092.5576375155,BASELINE,83.25
2025-05-17 18:23:00,5838170.624001151,BASELINE,83.5
2025-05-17 18:23:15,5838693.577812624,BASELINE,83.75
2025-05-17 18:23:30,5838765.637184386,BASELINE,84.0
2025-05-17 18:23:45,5838616.117261846,BASELINE,84.25
2025-05-17 18:24:00,5838670.208595179,BASELINE,84.5
2025-05-17 18:24:15,5839179.5351608265,BASELINE,84.75
2025-05-17 18:24:30,5839207.886779874,BASELINE,85.0
2025-05-17 18:24:45,5839216.973820112,BASELINE,85.25
2025-05-17 18:25:00,5839237.934820112,BASELINE,85.5
2025-05-17 18:25:15,5839398.903779874,BASELINE,85.75
2025-05-17 18:25:30,5839456.581589398,BASELINE,86.0
2025-05-17 18:25:45,5839668.954369553,BASELINE,86.25
2025-05-17 18:26:00,5839970.745717429,BASELINE,86.5
2025-05-17 18:26:15,5840258.592660759,BASELINE,86.75
2025-05-17 18:26:30,5840462.801896924,BASELINE,87.0
2025-05-17 18:26:45,5840840.167886156,BASELINE,87.25
2025-05-17 18:27:00,5840941.057938413,BASELINE,87.5
2025-05-17 18:27:15,5840973.070077874,BASELINE,87.75
2025-05-17 18:27:30,5841111.395832508,BASELINE,88.0
2025-05-17 18:27:45,5841251.195253329,BASELINE,88.25
2025-05-17 18:28:00,5841320.408425046,BASELINE,88.5
2025-05-17 18:28:15,5841504.546418127,BASELINE,88.75
2025-05-17 18:28:30,5841531.20191019,BASELINE,89.0
2025-05-17 18:28:45,5841515.308135626,BASELINE,89.25
2025-05-17 18:29:00,5841600.981135625,BASELINE,89.5
2025-05-17 18:29:15,5841781.02347296,BASELINE,89.75
2025-05-17 18:29:30,5841861.70983926,BASELINE,90.0
2025-05-17 18:29:45,5841874.811476201,BASELINE,90.25
2025-05-17 18:30:00,5841929.134460327,BASELINE,90.5
2025-05-17 18:30:15,5842130.915811016,BASELINE,90.75
2025-05-17 18:30:30,5842194.0814300645,BASELINE,91.0
2025-05-17 18:30:45,5842191.139173034,BASELINE,91.25
2025-05-17 18:31:00,5842532.170016212,BASELINE,91.5
2025-05-17 18:31:15,5842824.998121086,BASELINE,91.75
2025-05-17 18:31:30,5843054.982995709,BASELINE,92.0
2025-05-17 18:31:45,5842917.648751452,BASELINE,92.25
2025-05-17 18:32:00,5842959.8527514525,BASELINE,92.5
2025-05-17 18:32:15,5843350.204512599,BASELINE,92.75
2025-05-17 18:32:30,5843612.1879062615,BASELINE,93.0
2025-05-17 18:32:45,5843241.945096017,BASELINE,93.25
2025-05-17 18:33:00,5843530.586619404,BASELINE,93.5
2025-05-17 18:33:15,5844154.8205364775,BASELINE,93.75
2025-05-17 18:33:30,5844224.049501995,BASELINE,94.0
2025-05-17 18:33:45,5844411.910107459,BASELINE,94.25
2025-05-17 18:34:00,5844545.269074269,BASELINE,94.5
2025-05-17 18:34:15,5844531.345535184,BASELINE,94.75
2025-05-17 18:34:30,5844581.095771614,BASELINE,95.0
2025-05-17 18:34:45,5844754.607264862,BASELINE,95.25
2025-05-17 18:35:00,5844820.0792736355,BASELINE,95.5
2025-05-17 18:35:15,5844834.863155566,BASELINE,95.75
2025-05-17 18:35:30,5844858.059060328,BASELINE,96.0
2025-05-17 18:35:45,5844923.875593901,BASELINE,96.25
2025-05-17 18:36:00,5845053.153645848,BASELINE,96.5
2025-05-17 18:36:15,5845042.864605781,BASELINE,96.75
2025-05-17 18:36:30,5845084.370081972,BASELINE,97.0
2025-05-17 18:36:45,5845429.941529473,BASELINE,97.25
2025-05-17 18:37:00,5845662.623989871,BASELINE,97.5
2025-05-17 18:37:15,5845578.76400999,BASELINE,97.75
2025-05-17 18:37:30,5845695.975690545,BASELINE,98.0
2025-05-17 18:37:45,5845652.374845589,BASELINE,98.25
2025-05-17 18:38:00,5845803.577684086,BASELINE,98.5
2025-05-17 18:38:15,5846131.542981172,BASELINE,98.75
2025-05-17 18:38:30,5846252.647130833,BASELINE,99.0
2025-05-17 18:38:45,5846365.674183164,BASELINE,99.25
2025-05-17 18:39:00,5846383.767260087,BASELINE,99.5
2025-05-17 18:39:15,5846447.607111349,BASELINE,99.75
2025-05-17 18:39:30,5846476.227111349,BASELINE,100.0
2025-05-17 18:39:45,5846746.068381773,BASELINE,100.25
2025-05-17 18:40:00,5846849.580121684,BASELINE,100.5
2025-05-17 18:40:15,5846734.519562697,BASELINE,100.75
2025-05-17 18:40:30,5846797.232079293,BASELINE,101.0
2025-05-17 18:40:45,5847048.300915183,BASELINE,101.25
2025-05-17 18:41:00,5847095.188239136,BASELINE,101.5
2025-05-17 18:41:15,5846995.287633978,BASELINE,101.75
2025-05-17 18:41:30,5847025.802563049,BASELINE,102.0
2025-05-17 18:41:45,5847381.484071315,BASELINE,102.25
2025-05-17 18:42:00,5847456.289428941,BASELINE,102.5
2025-05-17 18:42:15,5847360.580169868,BASELINE,102.75
2025-05-17 18:42:30,5847377.868455581,BASELINE,103.0
2025-05-17 18:42:45,5847657.2644447135,BASELINE,103.25
2025-05-17 18:43:00,5847730.736642024,BASELINE,103.5
2025-05-17 18:43:15,5847720.319084486,BASELINE,103.75
2025-05-17 18:43:30,5847723.089084486,BASELINE,104.0
2025-05-17 18:43:45,5848003.88026026,BASELINE,104.25
2025-05-17 18:44:00,5848151.537993631,BASELINE,104.5
2025-05-17 18:44:15,5848189.212806049,BASELINE,104.75
2025-05-17 18:44:30,5848254.266390879,BASELINE,105.0
2025-05-17 18:44:45,5848609.601436374,BASELINE,105.25
2025-05-17 18:45:00,5848722.739841602,BASELINE,105.5
2025-05-17 18:45:15,5848655.719391483,BASELINE,105.75
2025-05-17 18:45:30,5848677.527391484,BASELINE,106.0
2025-05-17 18:45:45,5848919.793256765,BASELINE,106.25
2025-05-17 18:46:00,5849046.83642063,BASELINE,106.5
2025-05-17 18:46:15,5849058.138594234,BASELINE,106.75
2025-05-17 18:46:30,5849093.6905942345,BASELINE,107.0
2025-05-17 18:46:45,5849106.125320107,BASELINE,107.25
2025-05-17 18:47:00,5849248.053978115,BASELINE,107.5
2025-05-17 18:47:15,5849405.209109386,BASELINE,107.75
2025-05-17 18:47:30,5849451.842442718,BASELINE,108.0
2025-05-17 18:47:45,5849625.280214527,BASELINE,108.25
2025-05-17 18:48:00,5849798.593608127,BASELINE,108.5
2025-05-17 18:48:15,5849926.34172334,BASELINE,108.75
2025-05-17 18:48:30,5849971.513151911,BASELINE,109.0
2025-05-17 18:48:45,5850138.1079755435,BASELINE,109.25
2025-05-17 18:49:00,5850189.802737448,BASELINE,109.5
2025-05-17 18:49:15,5850123.463723339,BASELINE,109.75
2025-05-17 18:49:30,5850170.126415648,BASELINE,110.0
2025-05-17 18:49:45,5850338.595315259,BASELINE,110.25
2025-05-17 18:50:00,5850371.157458115,BASELINE,110.5
2025-05-17 18:50:15,5850274.625034695,BASELINE,110.75
2025-05-17 18:50:30,5850307.680272789,BASELINE,111.0
2025-05-17 18:50:45,5850614.74172632,BASELINE,111.25
2025-05-17 18:51:00,5850694.972124788,BASELINE,111.5
2025-05-17 18:51:15,5850648.319109179,BASELINE,111.75
2025-05-17 18:51:30,5850670.789109179,BASELINE,112.0
