class,method,exceptions
"org.apache.zookeeper.proto.MultiHeader","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.ReconfigRequest","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.RemoveWatchesRequest","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.ReplyHeader","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.RequestHeader","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.SetACLRequest","compareTo",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.proto.SetACLResponse","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.SetDataRequest","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.SetDataResponse","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.SetMaxChildrenRequest","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.SetSASLRequest","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.SetSASLResponse","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.SetWatches","compareTo",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.proto.SetWatches2","compareTo",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.proto.SyncRequest","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.SyncResponse","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.WatcherEvent","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.server.DataTree","addConfigNode",#java.lang.AssertionError
"org.apache.zookeeper.server.DataTree","createNode",#org.apache.zookeeper.KeeperException$NodeExistsException#org.apache.zookeeper.KeeperException$NoNodeException
"org.apache.zookeeper.server.DataTree","deleteNode",#org.apache.zookeeper.KeeperException$NoNodeException
"org.apache.zookeeper.server.DataTree","deserialize",#java.io.IOException
"org.apache.zookeeper.server.DataTree","getACL",#org.apache.zookeeper.KeeperException$NoNodeException
"org.apache.zookeeper.server.DataTree","getChildren",#org.apache.zookeeper.KeeperException$NoNodeException
"org.apache.zookeeper.server.DataTree","getData",#org.apache.zookeeper.KeeperException$NoNodeException
"org.apache.zookeeper.server.DataTree","processTxn",#java.lang.AssertionError
"org.apache.zookeeper.server.DataTree","setACL",#org.apache.zookeeper.KeeperException$NoNodeException
"org.apache.zookeeper.server.DataTree","setCversionPzxid",#org.apache.zookeeper.KeeperException$NoNodeException
"org.apache.zookeeper.server.DataTree","setData",#org.apache.zookeeper.KeeperException$NoNodeException
"org.apache.zookeeper.server.DataTree","statNode",#org.apache.zookeeper.KeeperException$NoNodeException
"org.apache.zookeeper.server.EphemeralType","get",#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.EphemeralType","validateServerId",#java.lang.RuntimeException
"org.apache.zookeeper.server.EphemeralType","validateTTL",#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.EphemeralType$1","toEphemeralOwner",#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.EphemeralTypeEmulate353","ttlToEphemeralOwner",#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.FinalRequestProcessor","handleGetChildrenRequest",#org.apache.zookeeper.KeeperException$NoNodeException
"org.apache.zookeeper.server.FinalRequestProcessor","handleGetDataRequest",#org.apache.zookeeper.KeeperException$NoNodeException
"org.apache.zookeeper.server.LogFormatter","main",#java.io.IOException#java.io.EOFException
"org.apache.zookeeper.server.NIOServerCnxn","checkFourLetterWord",#java.io.IOException
"org.apache.zookeeper.server.NIOServerCnxn","getClientCertificateChain",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.server.NIOServerCnxn","handleFailedRead",#org.apache.zookeeper.server.ServerCnxn$EndOfStreamException
"org.apache.zookeeper.server.NIOServerCnxn","handleWrite",#org.apache.zookeeper.server.ServerCnxn$CloseRequestException
"org.apache.zookeeper.server.NIOServerCnxn","readConnectRequest",#java.io.IOException
"org.apache.zookeeper.server.NIOServerCnxn","readLength",#java.io.IOException
"org.apache.zookeeper.server.NIOServerCnxn","setClientCertificateChain",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.server.NIOServerCnxnFactory","addCnxn",#java.io.IOException
"org.apache.zookeeper.server.NIOServerCnxnFactory","configure",#java.lang.UnsupportedOperationException#java.io.IOException
"org.apache.zookeeper.server.NettyServerCnxn","checkIsInEventLoop",#java.lang.IllegalStateException
"org.apache.zookeeper.server.NettyServerCnxnFactory","initSSL",#org.apache.zookeeper.common.X509Exception$SSLContextException
"org.apache.zookeeper.server.ObserverBean","setLearnerMaster",#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.PrepRequestProcessor","checkAndIncVersion",#org.apache.zookeeper.KeeperException$BadVersionException
"org.apache.zookeeper.server.PrepRequestProcessor","fixupACL",#org.apache.zookeeper.KeeperException$InvalidACLException
"org.apache.zookeeper.server.PrepRequestProcessor","getParentPathAndValidate",#org.apache.zookeeper.KeeperException$BadArgumentsException
"org.apache.zookeeper.server.PrepRequestProcessor","getRecordForPath",#org.apache.zookeeper.KeeperException$NoNodeException
"org.apache.zookeeper.server.PrepRequestProcessor","pRequest2Txn",#org.apache.zookeeper.KeeperException$ReconfigInProgress#org.apache.zookeeper.KeeperException$BadVersionException#org.apache.zookeeper.KeeperException$UnimplementedException#org.apache.zookeeper.KeeperException$ReconfigDisabledException#org.apache.zookeeper.KeeperException$NewConfigNoQuorum#org.apache.zookeeper.KeeperException$NotEmptyException#org.apache.zookeeper.KeeperException$BadArgumentsException
"org.apache.zookeeper.server.PrepRequestProcessor","pRequest2TxnCreate",#org.apache.zookeeper.KeeperException$NodeExistsException#org.apache.zookeeper.KeeperException$NoChildrenForEphemeralsException
"org.apache.zookeeper.server.PrepRequestProcessor","validateCreateRequest",#org.apache.zookeeper.KeeperException$UnimplementedException#org.apache.zookeeper.KeeperException$BadArgumentsException
"org.apache.zookeeper.server.PrepRequestProcessor","validatePath",#org.apache.zookeeper.KeeperException$BadArgumentsException
"org.apache.zookeeper.server.PrepRequestProcessor","validatePathForCreate",#org.apache.zookeeper.KeeperException$BadArgumentsException
"org.apache.zookeeper.server.PurgeTxnLog","purge",#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.ReferenceCountedACLCache","convertLong",#java.lang.RuntimeException
"org.apache.zookeeper.server.ReferenceCountedACLCache","deserialize",#java.lang.RuntimeException
"org.apache.zookeeper.server.ServerCnxnFactory","configureSaslLogin",#java.io.IOException
"org.apache.zookeeper.server.ServerCnxnFactory","createFactory",#java.io.IOException
"org.apache.zookeeper.server.ServerConfig","parse",#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.SessionTrackerImpl","checkGlobalSession",#org.apache.zookeeper.KeeperException$SessionExpiredException
"org.apache.zookeeper.server.SessionTrackerImpl","checkSession",#org.apache.zookeeper.KeeperException$SessionExpiredException#org.apache.zookeeper.KeeperException$SessionMovedException#org.apache.zookeeper.KeeperException$UnknownSessionException
"org.apache.zookeeper.server.SessionTrackerImpl","setOwner",#org.apache.zookeeper.KeeperException$SessionExpiredException
"org.apache.zookeeper.server.TxnLogProposalIterator","remove",#java.lang.UnsupportedOperationException
