Time,disk sda,source,Minutes
2025-05-17 17:37:45,13.0,MEM_STRESS,38.0
2025-05-17 17:38:00,13.0,MEM_STRESS,38.25
2025-05-17 17:38:15,13.0,MEM_STRESS,38.5
2025-05-17 17:38:30,13.0,MEM_STRESS,38.75
2025-05-17 17:38:45,13.0,MEM_STRESS,39.0
2025-05-17 17:39:00,13.0,MEM_STRESS,39.25
2025-05-17 17:39:15,13.0,MEM_STRESS,39.5
2025-05-17 17:39:30,13.0,MEM_STRESS,39.75
2025-05-17 17:39:45,13.0,MEM_STRESS,40.0
2025-05-17 17:40:00,13.0,MEM_STRESS,40.25
2025-05-17 17:40:15,13.0,MEM_STRESS,40.5
2025-05-17 17:40:30,13.0,MEM_STRESS,40.75
2025-05-17 17:40:45,13.0,MEM_STRESS,41.0
2025-05-17 17:41:00,12.0,MEM_STRESS,41.25
2025-05-17 17:41:15,12.0,MEM_STRESS,41.5
2025-05-17 17:41:30,12.0,MEM_STRESS,41.75
2025-05-17 17:41:45,12.0,MEM_STRESS,42.0
2025-05-17 17:42:00,12.0,MEM_STRESS,42.25
2025-05-17 17:42:15,12.0,MEM_STRESS,42.5
2025-05-17 17:42:30,12.0,MEM_STRESS,42.75
2025-05-17 17:42:45,12.0,MEM_STRESS,43.0
2025-05-17 17:43:00,12.0,MEM_STRESS,43.25
2025-05-17 17:43:15,13.0,MEM_STRESS,43.5
2025-05-17 17:43:30,13.0,MEM_STRESS,43.75
2025-05-17 17:43:45,13.0,MEM_STRESS,44.0
2025-05-17 17:44:00,13.0,MEM_STRESS,44.25
2025-05-17 17:44:15,13.0,MEM_STRESS,44.5
2025-05-17 17:44:30,13.0,MEM_STRESS,44.75
2025-05-17 17:44:45,13.0,MEM_STRESS,45.0
2025-05-17 17:45:00,13.0,MEM_STRESS,45.25
2025-05-17 17:45:15,13.0,MEM_STRESS,45.5
2025-05-17 17:45:30,13.0,MEM_STRESS,45.75
2025-05-17 17:45:45,13.0,MEM_STRESS,46.0
2025-05-17 17:46:00,13.0,MEM_STRESS,46.25
2025-05-17 17:46:15,13.0,MEM_STRESS,46.5
2025-05-17 17:46:30,13.0,MEM_STRESS,46.75
2025-05-17 17:46:45,13.0,MEM_STRESS,47.0
2025-05-17 17:47:00,13.0,MEM_STRESS,47.25
2025-05-17 17:47:15,13.0,MEM_STRESS,47.5
2025-05-17 17:47:30,12.0,MEM_STRESS,47.75
2025-05-17 17:47:45,13.0,MEM_STRESS,48.0
2025-05-17 17:48:00,13.0,MEM_STRESS,48.25
2025-05-17 17:48:15,13.0,MEM_STRESS,48.5
2025-05-17 17:48:30,13.0,MEM_STRESS,48.75
2025-05-17 17:48:45,13.0,MEM_STRESS,49.0
2025-05-17 17:49:00,13.0,MEM_STRESS,49.25
2025-05-17 17:49:15,13.0,MEM_STRESS,49.5
2025-05-17 17:49:30,13.0,MEM_STRESS,49.75
2025-05-17 17:49:45,13.0,MEM_STRESS,50.0
2025-05-17 17:50:00,12.0,MEM_STRESS,50.25
2025-05-17 17:50:15,12.0,MEM_STRESS,50.5
2025-05-17 17:50:30,12.0,MEM_STRESS,50.75
2025-05-17 17:50:45,12.0,MEM_STRESS,51.0
2025-05-17 17:51:00,12.0,MEM_STRESS,51.25
2025-05-17 17:51:15,13.0,MEM_STRESS,51.5
2025-05-17 17:51:30,13.0,MEM_STRESS,51.75
2025-05-17 17:51:45,13.0,MEM_STRESS,52.0
2025-05-17 17:52:00,13.0,MEM_STRESS,52.25
2025-05-17 17:52:15,13.0,MEM_STRESS,52.5
2025-05-17 17:52:30,13.0,MEM_STRESS,52.75
2025-05-17 17:52:45,13.0,MEM_STRESS,53.0
2025-05-17 17:53:00,13.0,MEM_STRESS,53.25
2025-05-17 17:53:15,13.0,MEM_STRESS,53.5
2025-05-17 17:53:30,13.0,MEM_STRESS,53.75
2025-05-17 17:53:45,13.0,MEM_STRESS,54.0
2025-05-17 17:54:00,13.0,MEM_STRESS,54.25
2025-05-17 17:54:15,13.0,MEM_STRESS,54.5
2025-05-17 17:54:30,13.0,MEM_STRESS,54.75
2025-05-17 17:54:45,13.0,MEM_STRESS,55.0
2025-05-17 17:55:00,13.0,MEM_STRESS,55.25
2025-05-17 17:55:15,13.0,MEM_STRESS,55.5
2025-05-17 17:55:30,13.0,MEM_STRESS,55.75
2025-05-17 17:55:45,13.0,MEM_STRESS,56.0
2025-05-17 17:56:00,13.0,MEM_STRESS,56.25
2025-05-17 17:56:15,13.0,MEM_STRESS,56.5
2025-05-17 17:56:30,13.0,MEM_STRESS,56.75
2025-05-17 17:56:45,13.0,MEM_STRESS,57.0
2025-05-17 17:57:00,13.0,MEM_STRESS,57.25
2025-05-17 17:57:15,13.0,MEM_STRESS,57.5
2025-05-17 17:57:30,13.0,MEM_STRESS,57.75
2025-05-17 17:57:45,13.0,MEM_STRESS,58.0
2025-05-17 17:58:00,13.0,MEM_STRESS,58.25
2025-05-17 17:58:15,13.0,MEM_STRESS,58.5
2025-05-17 17:58:30,13.0,MEM_STRESS,58.75
2025-05-17 17:58:45,13.0,MEM_STRESS,59.0
2025-05-17 17:59:00,13.0,MEM_STRESS,59.25
2025-05-17 17:59:15,13.0,MEM_STRESS,59.5
2025-05-17 17:59:30,13.0,MEM_STRESS,59.75
