timestamp,experiment_name,seq_len,lstm1_units,lstm2_units,dropout_rate,learning_rate,epochs,batch_size,patience,class_weight_ratio,train_ratio,val_ratio,num_features,train_samples,val_samples,test_samples,f1_score,recall,precision,roc_auc,best_threshold,final_train_loss,final_val_loss,epochs_trained,focal_alpha,focal_gamma,method,n_runs,f1_score_mean,f1_score_std,recall_mean,recall_std,precision_mean,precision_std,roc_auc_mean,roc_auc_std,total_false_negatives,miss_rate,stability_cv_f1,stability_cv_auc,break_temporal_pattern,add_noise
20250730_141558,19,30,16,8,0.35,5e-05,50.0,32.0,5.0,3.0,0.6,0.25,8.0,4920.0,2050.0,1231.0,0.6630602782071098,0.8362573099415205,0.5492957746478874,0.7815243773314438,0.3,0.778693437576294,0.5606091022491455,36.0,,,,,,,,,,,,,,,,,,
20250730_141627,19,30,16,8,0.35,5e-05,50.0,32.0,5.0,2.2,0.6,0.25,8.0,4920.0,2050.0,1231.0,0.0,0.0,0.0,0.5291175943572952,0.5,0.9374401569366456,0.7122268676757812,6.0,,,,,,,,,,,,,,,,,,
20250730_141735,19,30,16,8,0.35,5e-05,50.0,32.0,5.0,2.2,0.6,0.25,8.0,4920.0,2050.0,1231.0,0.6868250539956804,0.6198830409356725,0.7699757869249395,0.8072944664353547,0.6,0.6704975962638855,0.5445341467857361,32.0,,,,,,,,,,,,,,,,,,
20250730_141908,19,30,16,8,0.35,5e-05,50.0,32.0,5.0,2.3,0.6,0.25,8.0,4920.0,2050.0,1231.0,0.6802120141342756,0.7504873294346979,0.6219709208400647,0.8067216167934538,0.3,0.6484339237213135,0.4843952655792236,39.0,,,,,,,,,,,,,,,,,,
20250730_142117,19,30,16,8,0.35,5e-05,50.0,32.0,5.0,2.35,0.6,0.25,8.0,4920.0,2050.0,1231.0,0.6870229007633588,0.6140350877192983,0.7797029702970297,0.8053125695700099,0.6,0.6741542816162109,0.5343084931373596,48.0,,,,,,,,,,,,,,,,,,
20250730_142315,19,30,16,8,0.35,5e-05,50.0,32.0,5.0,2.5,0.6,0.25,8.0,4920.0,2050.0,1231.0,0.6629482071713148,0.8109161793372319,0.5606469002695418,0.7856782159670298,0.3,0.7186405062675476,0.5339058637619019,30.0,,,,,,,,,,,,,,,,,,
20250730_142646,19,30,16,8,0.35,5e-05,50.0,32.0,5.0,2.5,0.6,0.25,8.0,4920.0,2050.0,1231.0,0.6728452270620945,0.7076023391812866,0.6413427561837456,0.8075333800300813,0.4,0.7010294795036316,0.5330296158790588,33.0,,,,,,,,,,,,,,,,,,
20250730_142911,19,30,16,8,0.35,5e-05,50.0,32.0,5.0,2.5,0.6,0.25,8.0,4920.0,2050.0,1231.0,0.6728452270620945,0.7076023391812866,0.6413427561837456,0.8075333800300813,0.4,0.7010294795036316,0.5330296158790588,33.0,,,,,,,,,,,,,,,,,,
20250730_143416,19,30,16,8,0.35,5e-05,50.0,32.0,5.0,3.0,0.6,0.25,8.0,4920.0,2050.0,1231.0,0.6030769230769231,0.9551656920077972,0.4406474820143884,0.7711615001601807,0.5,1.0148931741714478,0.6940445303916931,6.0,,,,,,,,,,,,,,,,,,
20250730_143531,19,30,16,8,0.35,5e-05,50.0,32.0,5.0,2.5,0.6,0.25,8.0,4920.0,2050.0,1231.0,0.6728452270620945,0.7076023391812866,0.6413427561837456,0.8075333800300813,0.4,0.7010294795036316,0.5330296158790588,33.0,,,,,,,,,,,,,,,,,,
