minutes,io_readbytes_openeuler-home,io_readbytes_openeuler-root,io_readbytes_openeuler-swap,io_readbytes_sda,io_readbytes_source,io_writebytes_openeuler-home,io_writebytes_openeuler-root,io_writebytes_openeuler-swap,io_writebytes_sda,io_writebytes_source
2025-05-17 17:54:00,34,70014,21064.11028173985,92328,oom,537832,3916640,231906.1426444913,4651239,oom
2025-05-17 17:54:15,34,56911,25646.56645629817,53091,oom,541262,3917946,169727.34451030218,4573241,oom
2025-05-17 17:54:30,34,9659,26994.55852714499,52094,oom,651512,4023884,143781.36217979528,4554010,oom
2025-05-17 17:54:45,34,8958,28655.67992458902,73515,oom,668086,4048992,136319.00262169164,4597903,oom
2025-05-17 17:55:00,34,12767,28732.445094657047,74280,oom,641941,4039679,136319.00262169164,4602287,oom
2025-05-17 17:55:15,34,29220,28732.445094657047,972936,oom,642298,4040887,136319.00262169164,4753724,oom
2025-05-17 17:55:30,34,1193984,28732.445094657047,1245184,oom,640289,4222976,136319.00262169164,4762304,oom
2025-05-17 17:55:45,34,1193984,28732.445094657047,1273856,oom,634610,4222976,136319.00262169164,4697939,oom
2025-05-17 17:56:00,34,1222656,28732.445094657047,1273856,oom,624403,4222976,136319.00262169164,4697939,oom
2025-05-17 17:56:15,34,6578176,28732.445094657047,6504448,oom,552070,3690496,136319.00262169164,4701160,oom
2025-05-17 17:56:30,34,6546432,28732.445094657047,6475776,oom,567347,3690496,136319.00262169164,4633225,oom
2025-05-17 17:56:45,3144,6514688,28732.445094657047,6447104,oom,548864,3690496,136319.00262169164,4545130,oom
2025-05-17 17:57:00,32,6514688,28732.445094657047,2619392,oom,548864,3690496,136319.00262169164,4092893,oom
2025-05-17 17:57:15,32,2496512,28873.56003456849,2619392,oom,548864,2897920,136319.00262169164,2676274,oom
2025-05-17 17:57:30,32,2496512,43383.15899968866,3213312,oom,528384,2897920,205291.78345439985,2411476,oom
2025-05-17 17:57:45,32,2496512,45702.66008825207,3807232,oom,528384,2897920,277367.8207893253,2751498,oom
2025-05-17 17:58:00,32,3090432,44002.78796708916,1409024,oom,528384,2971648,288466.20973012294,2819560,oom
2025-05-17 17:58:15,32,1384448,43886.13073631992,1409024,oom,529935,4216832,288466.20973012294,3743930,oom
2025-05-17 17:58:30,32,243712,30106.45025577686,253952,oom,643072,4319232,237431.50835239253,4064413,oom
2025-05-17 17:58:45,32,243712,26328.09305157917,413696,oom,757760,4207616,206823.15429436087,4232596,oom
2025-05-17 17:59:00,32,393216,25603.5164442362,98304,oom,757760,4096000,231329.66814223264,4232596,oom
2025-05-17 17:59:15,32,69632,25603.5164442362,98304,oom,757760,3678208,231329.66814223264,4275939,oom
2025-05-17 17:59:30,32,69632,25603.5164442362,119053,oom,557267,3678208,231329.66814223264,4280442,oom
2025-05-17 17:59:45,32,95984,25603.5164442362,80386,oom,557267,3678208,231329.66814223264,4379436,oom
2025-05-17 18:00:00,32,80136,25603.5164442362,80386,oom,500649,3905033,231329.66814223264,4388119,oom
2025-05-17 18:00:15,32,80136,25603.5164442362,79682,oom,495536,3900132,193107.4552610739,4560706,oom
2025-05-17 18:00:30,32,178250,25603.5164442362,80671,oom,558234,4495551,215134.2076444929,4578362,oom
2025-05-17 18:00:45,32,178447,25603.5164442362,77632,oom,567990,4497614,304249.4787382981,4616770,oom
2025-05-17 18:01:00,32,79916,25603.5164442362,76246,oom,697095,4404311,304249.4787382981,4620446,oom
2025-05-17 18:01:15,32,75433,25603.5164442362,63866,oom,698296,4404311,304249.4787382981,5157042,oom
2025-05-17 18:01:30,32,63745,25603.5164442362,61610,oom,634008,4402796,304249.4787382981,5198950,oom
2025-05-17 18:01:45,235,22832,25662.57248730032,59299,oom,624230,4178664,304249.4787382981,4886670,oom
