minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes
13.0,207,59,66,102,55,89,63,112,0,0,OOM,13.0,715,826,770,592,556,806,564,808,0,0,OOM,13.0,866,838,879,1170,1220,906,1148,874,0,0,OOM,13.0,8480,9023,8896,15226,14761,9050,15023,9146,0,0,OOM,13.0,71.36766666666666,71.9064976190476,72.20720670744808,75.5917661116661,74.55514815344442,72.3084584214603,74.39217142857146,73.71066479032665,0,0,OOM,13.0
13.25,88,117,160,102,35,18,35,101,0,0,OOM,13.25,855,723,842,540,630,914,541,849,0,0,OOM,13.25,870,899,954,1177,1126,903,1254,920,0,0,OOM,13.25,8655,8923,8934,15509,15470,8950,15018,9689,0,0,OOM,13.25,71.943,71.65429999999999,72.37431257990895,75.4669122877123,75.88817965705444,73.04737700258676,74.53643928571432,76.9965543321374,0,0,OOM,13.25
13.5,81,129,167,102,33,18,33,100,0,0,OOM,13.5,878,708,846,541,656,922,539,864,0,0,OOM,13.5,867,907,955,1177,1106,902,1258,918,0,0,OOM,13.5,8712,8884,8937,15475,15852,8919,15038,9740,0,0,OOM,13.5,72.04693333333333,71.91835357142858,72.6162528681295,75.53714046231548,76.46407967869942,73.76781749535587,74.72149642857148,78.40004661456761,0,0,OOM,13.5
13.75,98,93,162,102,49,71,58,92,0,0,OOM,13.75,840,750,822,553,649,907,558,881,0,0,OOM,13.75,854,875,903,1186,1116,896,1262,898,0,0,OOM,13.75,8737,8977,8980,15505,16054,9007,15092,9766,0,0,OOM,13.75,72.79792142857144,72.46039126984125,73.21302085199751,75.90568930791432,77.21191140732627,74.49799383845722,75.57924610389614,78.84160223914256,0,0,OOM,13.75
14.0,98,92,162,102,49,73,58,91,0,0,OOM,14.0,817,751,820,555,649,906,563,890,0,0,OOM,14.0,847,866,883,1198,1118,887,1265,864,0,0,OOM,14.0,8748,9041,9252,15654,16069,9168,15233,9767,0,0,OOM,14.0,74.25432142857149,73.77283809523807,74.4260510717777,76.34216274558774,78.10939160056299,75.10815283501618,76.35704610389615,78.94442320688451,0,0,OOM,14.0
14.25,148,90,61,102,49,67,15,63,0,0,OOM,14.25,705,796,762,577,630,838,642,1001,0,0,OOM,14.25,781,820,800,1286,1197,808,1265,727,0,0,OOM,14.25,8998,9276,9507,15829,16204,9364,15353,9828,0,0,OOM,14.25,74.98000000000009,75.87205941558443,77.04039682539683,78.29611628991924,80.35315247386788,76.12176234084542,78.22090039682541,79.68858303071734,0,0,OOM,14.25
14.5,158,84,51,100,49,77,12,60,0,0,OOM,14.5,704,811,754,579,615,830,642,1005,0,0,OOM,14.5,780,795,799,1289,1216,797,1267,716,0,0,OOM,14.5,8971,9352,9550,15903,16214,9388,15482,9881,0,0,OOM,14.5,75.35135714285725,76.6742470834721,77.67171839684438,79.39437725921313,80.85900582110303,76.16144096638652,78.99341825396824,79.85370540854655,0,0,OOM,14.5
14.75,156,71,61,94,49,148,39,66,0,0,OOM,14.75,676,830,765,581,604,818,640,981,0,0,OOM,14.75,791,777,838,1276,1226,809,1271,733,0,0,OOM,14.75,9035,9445,9615,16028,16140,9323,15529,9912,0,0,OOM,14.75,75.03602380952391,76.77147735042736,77.46432757924673,79.9822011347465,80.40787914782153,76.07087879403792,79.50189624819623,79.71593817365661,0,0,OOM,14.75
15.0,155,70,61,92,48,155,39,66,0,0,OOM,15.0,673,838,768,580,601,818,635,974,0,0,OOM,15.0,793,777,844,1275,1228,813,1274,733,0,0,OOM,15.0,9037,9516,9621,16134,16142,9283,15852,9919,0,0,OOM,15.0,74.03802380952392,79.04779563492066,77.47124925844473,80.79060718009006,80.41570652877391,75.99230352522073,79.75676291486288,79.75909677328065,0,0,OOM,15.0
15.25,147,22,230,23,13,470,133,10,0,0,OOM,15.25,658,929,855,575,504,748,570,918,0,0,OOM,15.25,841,776,904,1258,1265,859,1319,733,0,0,OOM,15.25,8893,9935,9532,16602,15799,9172,16056,9993,0,0,OOM,15.25,73.20350000000009,79.75016309523814,76.78963092344132,81.76312127725213,78.8618132471614,74.5658111111111,79.94864166666667,79.31375152273506,0,0,OOM,15.25
