minutes,tcp_customersservice_customers_service,tcp_customersservice_source,tcp_vetsservice_vets_service,tcp_vetsservice_source,tcp_visitsservice_visits_service,tcp_visitsservice_source
2025-05-17 16:45:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:45:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:46:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:46:15,117,OOM,0.0,OOM,0,OOM
2025-05-17 16:46:30,117,OOM,0.0,OOM,0,OOM
2025-05-17 16:46:45,117,OOM,0.0,OOM,0,OOM
2025-05-17 16:47:00,117,OOM,0.0,OOM,0,OOM
2025-05-17 16:47:15,6,OOM,0.0,OOM,0,OOM
2025-05-17 16:47:30,6,OOM,0.0,OOM,0,OOM
2025-05-17 16:47:45,6,OOM,0.0,OOM,0,OOM
2025-05-17 16:48:00,6,OOM,0.0,OOM,0,OOM
2025-05-17 16:48:15,88,OOM,0.0,OOM,0,OOM
2025-05-17 16:48:30,88,OOM,0.0,OOM,0,OOM
2025-05-17 16:48:45,88,OOM,0.0,OOM,0,OOM
2025-05-17 16:49:00,88,OOM,0.0,OOM,0,OOM
2025-05-17 16:49:15,7,OOM,0.0,OOM,0,OOM
2025-05-17 16:49:30,7,OOM,0.0,OOM,0,OOM
2025-05-17 16:49:45,7,OOM,0.0,OOM,0,OOM
2025-05-17 16:50:00,7,OOM,0.0,OOM,0,OOM
2025-05-17 16:50:15,8,OOM,0.0,OOM,0,OOM
2025-05-17 16:50:30,8,OOM,0.0,OOM,0,OOM
2025-05-17 16:50:45,8,OOM,0.0,OOM,0,OOM
2025-05-17 16:51:00,8,OOM,0.0,OOM,0,OOM
2025-05-17 16:51:15,144,OOM,0.0,OOM,0,OOM
2025-05-17 16:51:30,144,OOM,0.0,OOM,0,OOM
2025-05-17 16:51:45,144,OOM,0.0,OOM,0,OOM
2025-05-17 16:52:00,144,OOM,0.0,OOM,0,OOM
2025-05-17 16:52:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:52:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:52:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:53:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:53:15,46,OOM,0.0,OOM,0,OOM
2025-05-17 16:53:30,46,OOM,0.0,OOM,0,OOM
2025-05-17 16:53:45,46,OOM,0.0,OOM,0,OOM
2025-05-17 16:54:00,46,OOM,0.0,OOM,0,OOM
2025-05-17 16:54:15,46,OOM,0.0,OOM,0,OOM
2025-05-17 16:54:30,167,OOM,0.0,OOM,0,OOM
2025-05-17 16:54:45,167,OOM,0.0,OOM,0,OOM
2025-05-17 16:55:00,167,OOM,0.0,OOM,0,OOM
2025-05-17 16:55:15,167,OOM,0.0,OOM,0,OOM
2025-05-17 16:55:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:55:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:56:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:56:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:56:30,134,OOM,0.0,OOM,0,OOM
2025-05-17 16:56:45,134,OOM,0.0,OOM,0,OOM
2025-05-17 16:57:00,134,OOM,0.0,OOM,0,OOM
2025-05-17 16:57:15,134,OOM,0.0,OOM,0,OOM
2025-05-17 16:57:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:57:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:58:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:58:15,0,OOM,0.0,OOM,0,OOM
