time,apigateway_api_gateway,customersservice_customers_service,srtt_SRTT_cumulative,vetsservice_vets_service,visitsservice_visits_service
2025-05-17 17:13:45,0.0,141.75,4704.099126107245,0.0,0.0
2025-05-17 17:14:00,0.0,141.75,4726.585967377085,0.0,0.0
2025-05-17 17:14:15,0.0,79.5,4459.342181968051,0.0,0.0
2025-05-17 17:14:30,0.0,79.5,4428.810064446683,0.0,0.0
2025-05-17 17:14:45,0.0,79.5,4434.43873111335,0.0,0.0
2025-05-17 17:15:00,0.0,79.5,4274.4138288665445,0.0,0.0
2025-05-17 17:15:15,0.0,12.75,4313.082439977657,0.0,5.25
2025-05-17 17:15:30,0.0,12.75,4368.467438534654,0.0,5.25
2025-05-17 17:15:45,0.0,12.75,4414.163705472324,0.0,5.25
2025-05-17 17:16:00,0.0,12.75,4526.9151114602255,0.0,5.25
2025-05-17 17:16:15,0.0,104.25,4552.7386800876775,0.0,0.75
2025-05-17 17:16:30,0.0,104.25,4801.537885375067,0.0,0.75
2025-05-17 17:16:45,0.0,104.25,4921.5536944984,0.0,0.75
2025-05-17 17:17:00,0.0,104.25,4882.600202434907,0.0,0.75
2025-05-17 17:17:15,0.0,84.75,4823.702161852682,0.0,0.0
2025-05-17 17:17:30,0.0,84.75,4676.385073324544,0.0,0.0
2025-05-17 17:17:45,0.0,84.75,4673.775232304909,0.0,0.0
2025-05-17 17:18:00,0.0,84.75,4809.437415898637,0.0,0.0
2025-05-17 17:18:15,0.0,9.0,5043.651177754993,0.0,0.0
2025-05-17 17:18:30,0.0,9.0,5451.3335,0.0,0.0
2025-05-17 17:18:45,0.0,9.0,5415.837447368421,0.0,0.0
2025-05-17 17:19:00,0.0,9.0,5532.998177527151,0.0,0.0
2025-05-17 17:19:15,0.0,9.75,5202.256344193818,0.0,0.0
2025-05-17 17:19:30,0.0,9.75,4363.868667621287,0.0,0.0
2025-05-17 17:19:45,0.0,9.75,4112.229299882832,0.0,0.0
2025-05-17 17:20:00,0.0,9.75,4089.08519106482,0.0,0.0
2025-05-17 17:20:15,0.0,0.0,4058.740277884434,0.0,0.0
