Time,mem_cache,source,Minutes
2025-07-16 19:40:15,4451345,oom,40.0
2025-07-16 19:40:30,4452062,oom,40.25
2025-07-16 19:40:45,4452254,oom,40.5
2025-07-16 19:41:00,4452920,oom,40.75
2025-07-16 19:41:15,4453273,oom,41.0
2025-07-16 19:41:30,4453439,oom,41.25
2025-07-16 19:41:45,4454017,oom,41.5
2025-07-16 19:42:00,4454161,oom,41.75
2025-07-16 19:42:15,4454644,oom,42.0
2025-07-16 19:42:30,4454992,oom,42.25
2025-07-16 19:42:45,4455167,oom,42.5
2025-07-16 19:43:00,4456017,oom,42.75
2025-07-16 19:43:15,4456317,oom,43.0
2025-07-16 19:43:30,4456927,oom,43.25
2025-07-16 19:43:45,4457620,oom,43.5
2025-07-16 19:44:00,4457740,oom,43.75
2025-07-16 19:44:15,4457748,oom,44.0
2025-07-16 19:44:30,4458072,oom,44.25
2025-07-16 19:44:45,4458546,oom,44.5
2025-07-16 19:45:00,4459182,oom,44.75
2025-07-16 19:45:15,4460938,oom,45.0
2025-07-16 19:45:30,4461222,oom,45.25
2025-07-16 19:45:45,4461325,oom,45.5
2025-07-16 19:46:00,4461627,oom,45.75
2025-07-16 19:46:15,4462017,oom,46.0
2025-07-16 19:46:30,4462432,oom,46.25
2025-07-16 19:46:45,4462637,oom,46.5
2025-07-16 19:47:00,4462852,oom,46.75
2025-07-16 19:47:15,4463329,oom,47.0
2025-07-16 19:47:30,4463851,oom,47.25
2025-07-16 19:47:45,4464506,oom,47.5
2025-07-16 19:48:00,4465378,oom,47.75
2025-07-16 19:48:15,4465476,oom,48.0
2025-07-16 19:48:30,4465940,oom,48.25
2025-07-16 19:48:45,4466928,oom,48.5
2025-07-16 19:49:00,4467018,oom,48.75
2025-07-16 19:49:15,4467245,oom,49.0
2025-07-16 19:49:30,4467543,oom,49.25
2025-07-16 19:49:45,4467743,oom,49.5
2025-07-16 19:50:00,4468158,oom,49.75
2025-07-16 19:50:15,4469310,oom,50.0
2025-07-16 19:50:30,4469753,oom,50.25
2025-07-16 19:50:45,4469888,oom,50.5
2025-07-16 19:51:00,4470206,oom,50.75
2025-07-16 19:51:15,4470738,oom,51.0
2025-07-16 19:51:30,4471130,oom,51.25
2025-07-16 19:51:45,4471756,oom,51.5
2025-07-16 19:52:00,4472471,oom,51.75
2025-07-16 19:52:15,4472623,oom,52.0
2025-07-16 19:52:30,4472993,oom,52.25
2025-07-16 19:52:45,4473396,oom,52.5
2025-07-16 19:53:00,4473556,oom,52.75
2025-07-16 19:53:15,4473539,oom,53.0
2025-07-16 19:53:30,4473824,oom,53.25
2025-07-16 19:53:45,4474659,oom,53.5
2025-07-16 19:54:00,4475122,oom,53.75
2025-07-16 19:54:15,4475897,oom,54.0
2025-07-16 19:54:30,4476172,oom,54.25
2025-07-16 19:54:45,4476957,oom,54.5
2025-07-16 19:55:00,4477243,oom,54.75
2025-07-16 19:55:15,4477779,oom,55.0
2025-07-16 19:55:30,4478144,oom,55.25
2025-07-16 19:55:45,4478569,oom,55.5
2025-07-16 19:56:00,4478787,oom,55.75
2025-07-16 19:56:15,4479366,oom,56.0
2025-07-16 19:56:30,4479676,oom,56.25
2025-07-16 19:56:45,4479655,oom,56.5
2025-07-16 19:57:00,4480279,oom,56.75
2025-07-16 19:57:15,4481086,oom,57.0
2025-07-16 19:57:30,4481434,oom,57.25
2025-07-16 19:57:45,4482053,oom,57.5
2025-07-16 19:58:00,4482339,oom,57.75
2025-07-16 19:58:15,4482478,oom,58.0
2025-07-16 19:58:30,4482973,oom,58.25
2025-07-16 19:58:45,4483752,oom,58.5
2025-07-16 19:59:00,4484608,oom,58.75
2025-07-16 19:59:15,4485522,oom,59.0
2025-07-16 19:59:30,4486352,oom,59.25
2025-07-16 19:59:45,4486396,oom,59.5
2025-07-16 20:00:00,4486501,oom,59.75
2025-07-16 20:00:15,4486713,oom,60.0
2025-07-16 20:00:30,4486896,oom,60.25
2025-07-16 20:00:45,4487262,oom,60.5
2025-07-16 20:01:00,4487744,oom,60.75
2025-07-16 20:01:15,4489101,oom,61.0
2025-07-16 20:01:30,4489568,oom,61.25
2025-07-16 20:01:45,4490226,oom,61.5
2025-07-16 20:02:00,4490433,oom,61.75
2025-07-16 20:02:15,4491665,oom,62.0
2025-07-16 20:02:30,4492054,oom,62.25
2025-07-16 20:02:45,4492208,oom,62.5
2025-07-16 20:03:00,4492300,oom,62.75
2025-07-16 20:03:15,4492972,oom,63.0
2025-07-16 20:03:30,4493180,oom,63.25
2025-07-16 20:03:45,4493166,oom,63.5
2025-07-16 20:04:00,4493309,oom,63.75
2025-07-16 20:04:15,4493707,oom,64.0
2025-07-16 20:04:30,4493429,oom,64.25
2025-07-16 20:04:45,4492722,oom,64.5
2025-07-16 20:05:00,4492006,oom,64.75
2025-07-16 20:05:15,4487366,oom,65.0
2025-07-16 20:05:30,4486863,oom,65.25
2025-07-16 20:05:45,4487805,oom,65.5
2025-07-16 20:06:00,4487831,oom,65.75
2025-07-16 20:06:15,4487915,oom,66.0
2025-07-16 20:06:30,4488095,oom,66.25
2025-07-16 20:06:45,4488473,oom,66.5
2025-07-16 20:07:00,4488745,oom,66.75
2025-07-16 20:07:15,4490219,oom,67.0
2025-07-16 20:07:30,4490567,oom,67.25
2025-07-16 20:07:45,4490995,oom,67.5
2025-07-16 20:08:00,4491026,oom,67.75
2025-07-16 20:08:15,4491222,oom,68.0
2025-07-16 20:08:30,4491387,oom,68.25
2025-07-16 20:08:45,4491764,oom,68.5
2025-07-16 20:09:00,4492011,oom,68.75
2025-07-16 20:09:15,4493008,oom,69.0
2025-07-16 20:09:30,4493415,oom,69.25
2025-07-16 20:09:45,4493603,oom,69.5
2025-07-16 20:10:00,4493808,oom,69.75
2025-07-16 20:10:15,4494433,oom,70.0
2025-07-16 20:10:30,4494842,oom,70.25
