minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes
4.0,29,9,11,9,1,3,1,1,0,0,CPU_STRESS,4.0,383,634,535,373,343,342,256,314,0,0,CPU_STRESS,4.0,975,1285,1183,1766,1450,1459,1129,1420,0,0,CPU_STRESS,4.0,3895,6316,5844,16914,14963,13969,12455,13664,0,0,CPU_STRESS,4.0,19.963738649177,23.80381270728064,22.357513949172176,32.33999519395637,28.18918831856552,26.48093095238096,22.17000000000003,26.54413204952942,0,0,CPU_STRESS,4.0
4.25,29,11,13,10,5,3,2,3,0,0,CPU_STRESS,4.25,392,633,532,380,352,348,254,316,0,0,CPU_STRESS,4.25,984,1285,1184,1788,1580,1467,1093,1468,0,0,CPU_STRESS,4.25,4164,6298,5725,16857,15098,14015,11998,13828,0,0,CPU_STRESS,4.25,20.27467433665129,24.02535453767247,22.285564592826766,32.477587450263286,28.96474989865209,26.802987698412707,21.98400000000002,26.802800429567,0,0,CPU_STRESS,4.25
4.5,28,11,13,10,5,5,2,2,0,0,CPU_STRESS,4.5,407,630,534,381,369,360,255,318,0,0,CPU_STRESS,4.5,1005,1170,1186,1794,1562,1475,1093,1468,0,0,CPU_STRESS,4.5,4785,6221,5714,16881,15500,14089,12605,13878,0,0,CPU_STRESS,4.5,21.335541777063277,24.037902156720094,22.301097060359236,32.717495531071364,31.0022635350157,27.73944484126985,22.079999999999977,26.78509566766224,0,0,CPU_STRESS,4.5
4.75,20,11,2,18,8,17,2,2,0,0,CPU_STRESS,4.75,496,613,552,395,400,401,273,325,0,0,CPU_STRESS,4.75,1005,1170,1211,1842,1770,1571,1109,1459,0,0,CPU_STRESS,4.75,5271,6189,5544,17360,17054,15161,12605,14653,0,0,CPU_STRESS,4.75,22.90601724104187,23.97355537572331,22.258372709709885,33.54725903914627,33.03107656787657,29.51616739926741,22.367999999999967,28.13099221224252,0,0,CPU_STRESS,4.75
5.0,21,11,1,17,8,18,2,2,0,0,CPU_STRESS,5.0,524,610,560,397,409,407,278,329,0,0,CPU_STRESS,5.0,1005,1170,1217,1842,1770,1593,1116,1457,0,0,CPU_STRESS,5.0,5336,6153,5567,17712,17845,15874,12605,14947,0,0,CPU_STRESS,5.0,23.19158676773498,23.9402336585516,22.291158622408293,34.16826112580232,33.72656275504973,30.24599120879121,22.123499999999968,28.52466297481329,0,0,CPU_STRESS,5.0
5.25,24,11,9,14,9,15,2,2,0,0,CPU_STRESS,5.25,541,617,559,396,413,408,296,338,0,0,CPU_STRESS,5.25,1130,1140,1219,1783,1770,1623,1123,1474,0,0,CPU_STRESS,5.25,5199,6134,5729,18041,17632,16454,12605,15420,0,0,CPU_STRESS,5.25,23.2701179170588,23.95754649293943,22.39168964693931,34.40533259456344,34.090368719476615,31.37527156593405,23.343499999999977,28.710346509141026,0,0,CPU_STRESS,5.25
5.5,29,11,9,14,9,14,2,4,0,0,CPU_STRESS,5.5,542,617,567,396,413,411,314,343,0,0,CPU_STRESS,5.5,960,1131,1220,1751,1759,1634,1125,1476,0,0,CPU_STRESS,5.5,5133,6096,5946,18121,18314,16550,15680,15660,0,0,CPU_STRESS,5.5,23.2219179170588,23.900696065589,22.412645202494865,34.80827033182618,34.74536559155878,31.77016839133088,27.640499999999992,29.3434673477795,0,0,CPU_STRESS,5.5
5.75,37,1,17,10,1,2,2,9,0,0,CPU_STRESS,5.75,555,623,609,390,427,426,370,369,0,0,CPU_STRESS,5.75,960,1079,1267,1619,1868,1780,1345,1622,0,0,CPU_STRESS,5.75,5024,6084,6458,18912,19415,17459,15680,16714,0,0,CPU_STRESS,5.75,22.18225875488797,23.48239611553904,23.576866658965,35.73817388444889,37.00352907780882,33.76310985958486,29.04700000000001,31.326432542745348,0,0,CPU_STRESS,5.75
6.0,38,1,19,10,1,2,2,9,0,0,CPU_STRESS,6.0,559,625,624,390,425,427,382,369,0,0,CPU_STRESS,6.0,988,1076,1282,1591,1943,1806,1480,1634,0,0,CPU_STRESS,6.0,4988,6091,6622,19299,19607,17958,15680,17153,0,0,CPU_STRESS,6.0,22.04204433380182,23.52712798367092,23.7885961938466,36.29777305472305,37.22129861283932,34.31951184371184,29.798,32.82354450512938,0,0,CPU_STRESS,6.0
6.25,29,3,21,10,6,4,2,9,0,0,CPU_STRESS,6.25,564,630,630,395,413,421,382,374,0,0,CPU_STRESS,6.25,991,1125,1297,1567,1913,1801,1511,1615,0,0,CPU_STRESS,6.25,4984,6142,6760,19797,19470,17980,16390,17201,0,0,CPU_STRESS,6.25,22.19651091435973,23.771039175257112,24.151639883358552,36.91096169696317,37.18705056961982,34.90564996947497,30.959999999999997,32.797344963467346,0,0,CPU_STRESS,6.25
6.5,24,3,20,10,6,5,2,10,0,0,CPU_STRESS,6.5,561,634,631,393,411,421,382,373,0,0,CPU_STRESS,6.5,997,1157,1312,1566,1904,1772,1511,1615,0,0,CPU_STRESS,6.5,4905,6429,6760,19844,19488,17980,16711,17159,0,0,CPU_STRESS,6.5,22.35089792734675,24.49234902597404,24.7567631337193,37.20320891918539,37.07078390295316,35.017292826617826,34.431000000000026,32.87401163013401,0,0,CPU_STRESS,6.5
6.75,10,3,4,1,28,8,2,10,0,0,CPU_STRESS,6.75,508,637,655,344,383,402,368,373,0,0,CPU_STRESS,6.75,1098,1266,1370,1534,1592,1588,1502,1460,0,0,CPU_STRESS,6.75,4722,6496,6830,19747,19175,18337,19241,16777,0,0,CPU_STRESS,6.75,23.063980926450657,25.91541384045862,26.24950995018793,37.009913816738816,36.05216026014639,35.169640048840044,36.824000000000055,32.36953804769792,0,0,CPU_STRESS,6.75
7.0,11,3,2,2,29,9,2,10,0,0,CPU_STRESS,7.0,504,648,667,339,383,401,366,373,0,0,CPU_STRESS,7.0,1153,1277,1381,1538,1512,1570,1490,1448,0,0,CPU_STRESS,7.0,4715,6532,6827,19968,19186,19035,19934,16770,0,0,CPU_STRESS,7.0,23.38548686157833,26.40208864065841,26.817889955599966,37.554694489672855,36.04739561406327,35.59867185592185,37.30800000000006,32.553472504907376,0,0,CPU_STRESS,7.0
