Time,mem_available,source,Minutes
2025-07-15 18:17:45,8542272,threadfull,53.5
2025-07-15 18:18:00,8541843,threadfull,53.75
2025-07-15 18:18:15,8541843,threadfull,54.0
2025-07-15 18:18:30,8543006,threadfull,54.25
2025-07-15 18:18:45,8543395,threadfull,54.5
2025-07-15 18:19:00,8543164,threadfull,54.75
2025-07-15 18:19:15,8543164,threadfull,55.0
2025-07-15 18:19:30,8544101,threadfull,55.25
2025-07-15 18:19:45,8545565,threadfull,55.5
2025-07-15 18:20:00,8545262,threadfull,55.75
2025-07-15 18:20:15,8545406,threadfull,56.0
2025-07-15 18:20:30,8552768,threadfull,56.25
2025-07-15 18:20:45,8554966,threadfull,56.5
2025-07-15 18:21:00,8553916,threadfull,56.75
2025-07-15 18:21:15,8553916,threadfull,57.0
2025-07-15 18:21:30,8548805,threadfull,57.25
2025-07-15 18:21:45,8546231,threadfull,57.5
2025-07-15 18:22:00,8545406,threadfull,57.75
2025-07-15 18:22:15,8545406,threadfull,58.0
2025-07-15 18:22:30,8544255,threadfull,58.25
2025-07-15 18:22:45,8542264,threadfull,58.5
2025-07-15 18:23:00,8542078,threadfull,58.75
2025-07-15 18:23:15,8542359,threadfull,59.0
2025-07-15 18:23:30,8552948,threadfull,59.25
2025-07-15 18:23:45,8556626,threadfull,59.5
2025-07-15 18:24:00,8553928,threadfull,59.75
2025-07-15 18:24:15,8553928,threadfull,60.0
2025-07-15 18:24:30,8548100,threadfull,60.25
2025-07-15 18:24:45,8544817,threadfull,60.5
2025-07-15 18:25:00,8543597,threadfull,60.75
2025-07-15 18:25:15,8543703,threadfull,61.0
2025-07-15 18:25:30,8556801,threadfull,61.25
2025-07-15 18:25:45,8563316,threadfull,61.5
2025-07-15 18:26:00,8557478,threadfull,61.75
2025-07-15 18:26:15,8557284,threadfull,62.0
2025-07-15 18:26:30,8559419,threadfull,62.25
2025-07-15 18:26:45,8548857,threadfull,62.5
2025-07-15 18:27:00,8540042,threadfull,62.75
2025-07-15 18:27:15,8539558,threadfull,63.0
2025-07-15 18:27:30,8538916,threadfull,63.25
2025-07-15 18:27:45,8537275,threadfull,63.5
2025-07-15 18:28:00,8534737,threadfull,63.75
2025-07-15 18:28:15,8534737,threadfull,64.0
2025-07-15 18:28:30,8534241,threadfull,64.25
2025-07-15 18:28:45,8533916,threadfull,64.5
2025-07-15 18:29:00,8532622,threadfull,64.75
2025-07-15 18:29:15,8532622,threadfull,65.0
2025-07-15 18:29:30,8539623,threadfull,65.25
2025-07-15 18:29:45,8542697,threadfull,65.5
2025-07-15 18:30:00,8541418,threadfull,65.75
2025-07-15 18:30:15,8541418,threadfull,66.0
2025-07-15 18:30:30,8540876,threadfull,66.25
2025-07-15 18:30:45,8540100,threadfull,66.5
2025-07-15 18:31:00,8539156,threadfull,66.75
2025-07-15 18:31:15,8538332,threadfull,67.0
2025-07-15 18:31:30,8534947,threadfull,67.25
2025-07-15 18:31:45,8530677,threadfull,67.5
2025-07-15 18:32:00,8524428,threadfull,67.75
2025-07-15 18:32:15,8522416,threadfull,68.0
2025-07-15 18:32:30,8519259,threadfull,68.25
2025-07-15 18:32:45,8517067,threadfull,68.5
2025-07-15 18:33:00,8516374,threadfull,68.75
2025-07-15 18:33:15,8516374,threadfull,69.0
2025-07-15 18:33:30,8513451,threadfull,69.25
2025-07-15 18:33:45,8512977,threadfull,69.5
2025-07-15 18:34:00,8514046,threadfull,69.75
2025-07-15 18:34:15,8514046,threadfull,70.0
2025-07-15 18:34:30,8515503,threadfull,70.25
2025-07-15 18:34:45,8515766,threadfull,70.5
2025-07-15 18:35:00,8515859,threadfull,70.75
2025-07-15 18:35:15,8515859,threadfull,71.0
2025-07-15 18:35:30,8503941,threadfull,71.25
2025-07-15 18:35:45,8510612,threadfull,71.5
2025-07-15 18:36:00,8512231,threadfull,71.75
2025-07-15 18:36:15,8512231,threadfull,72.0
2025-07-15 18:36:30,8521740,threadfull,72.25
2025-07-15 18:36:45,8523263,threadfull,72.5
2025-07-15 18:37:00,8519351,threadfull,72.75
2025-07-15 18:37:15,8519351,threadfull,73.0
2025-07-15 18:37:30,8518928,threadfull,73.25
2025-07-15 18:37:45,8518070,threadfull,73.5
2025-07-15 18:38:00,8517256,threadfull,73.75
2025-07-15 18:38:15,8517256,threadfull,74.0
2025-07-15 18:38:30,8516577,threadfull,74.25
2025-07-15 18:38:45,8515825,threadfull,74.5
2025-07-15 18:39:00,8515133,threadfull,74.75
2025-07-15 18:39:15,8515403,threadfull,75.0
2025-07-15 18:39:30,8525735,threadfull,75.25
2025-07-15 18:39:45,8527766,threadfull,75.5
2025-07-15 18:40:00,8528678,threadfull,75.75
2025-07-15 18:40:15,8528322,threadfull,76.0
2025-07-15 18:40:30,8520704,threadfull,76.25
2025-07-15 18:40:45,8518723,threadfull,76.5
2025-07-15 18:41:00,8518211,threadfull,76.75
2025-07-15 18:41:15,8518022,threadfull,77.0
2025-07-15 18:41:30,8518812,threadfull,77.25
2025-07-15 18:41:45,8518192,threadfull,77.5
2025-07-15 18:42:00,8516472,threadfull,77.75
2025-07-15 18:42:15,8513051,threadfull,78.0
2025-07-15 18:42:30,8509354,threadfull,78.25
2025-07-15 18:42:45,8506170,threadfull,78.5
2025-07-15 18:43:00,8503594,threadfull,78.75
2025-07-15 18:43:15,8502074,threadfull,79.0
2025-07-15 18:43:30,8541906,threadfull,79.25
2025-07-15 18:43:45,8550884,threadfull,79.5
2025-07-15 18:44:00,8663944,threadfull,79.75
2025-07-15 18:44:15,8679371,threadfull,80.0
2025-07-15 18:44:30,8596351,threadfull,80.25
2025-07-15 18:44:45,8656190,threadfull,80.5
2025-07-15 18:45:00,8847140,threadfull,80.75
2025-07-15 18:45:15,8979350,threadfull,81.0
2025-07-15 18:45:30,10259553,threadfull,81.25
2025-07-15 18:45:45,10268665,threadfull,81.5
2025-07-15 18:46:00,10268904,threadfull,81.75
2025-07-15 18:46:15,10274910,threadfull,82.0
2025-07-15 18:46:30,10399033,threadfull,82.25
2025-07-15 18:46:45,10331979,threadfull,82.5
2025-07-15 18:47:00,10080528,threadfull,82.75
2025-07-15 18:47:15,9922633,threadfull,83.0
2025-07-15 18:47:30,9060782,threadfull,83.25
2025-07-15 18:47:45,8967463,threadfull,83.5
2025-07-15 18:48:00,8873941,threadfull,83.75
2025-07-15 18:48:15,8860996,threadfull,84.0
2025-07-15 18:48:30,8755662,threadfull,84.25
2025-07-15 18:48:45,8743606,threadfull,84.5
2025-07-15 18:49:00,8784596,threadfull,84.75
2025-07-15 18:49:15,8788796,threadfull,85.0
2025-07-15 18:49:30,8850755,threadfull,85.25
2025-07-15 18:49:45,8844296,threadfull,85.5
2025-07-15 18:50:00,8825142,threadfull,85.75
2025-07-15 18:50:15,8822717,threadfull,86.0
2025-07-15 18:50:30,8706397,threadfull,86.25
2025-07-15 18:50:45,8685497,threadfull,86.5
2025-07-15 18:51:00,8809516,threadfull,86.75
2025-07-15 18:51:15,8823169,threadfull,87.0
2025-07-15 18:51:30,9092267,threadfull,87.25
2025-07-15 18:51:45,9112049,threadfull,87.5
2025-07-15 18:52:00,9069274,threadfull,87.75
2025-07-15 18:52:15,9065034,threadfull,88.0
2025-07-15 18:52:30,8933859,threadfull,88.25
2025-07-15 18:52:45,8909778,threadfull,88.5
2025-07-15 18:53:00,9124990,threadfull,88.75
2025-07-15 18:53:15,9228919,threadfull,89.0
2025-07-15 18:53:30,10597400,threadfull,89.25
2025-07-15 18:53:45,10474290,threadfull,89.5
2025-07-15 18:54:00,10184619,threadfull,89.75
2025-07-15 18:54:15,10120733,threadfull,90.0
2025-07-15 18:54:30,9373867,threadfull,90.25
2025-07-15 18:54:45,9295429,threadfull,90.5
2025-07-15 18:55:00,9058576,threadfull,90.75
2025-07-15 18:55:15,9044602,threadfull,91.0
2025-07-15 18:55:30,8961619,threadfull,91.25
2025-07-15 18:55:45,8929377,threadfull,91.5
2025-07-15 18:56:00,8933899,threadfull,91.75
2025-07-15 18:56:15,8929109,threadfull,92.0
2025-07-15 18:56:30,8720906,threadfull,92.25
2025-07-15 18:56:45,8667049,threadfull,92.5
2025-07-15 18:57:00,8822683,threadfull,92.75
2025-07-15 18:57:15,8845873,threadfull,93.0
2025-07-15 18:57:30,9119057,threadfull,93.25
2025-07-15 18:57:45,9149999,threadfull,93.5
2025-07-15 18:58:00,9150466,threadfull,93.75
2025-07-15 18:58:15,9151836,threadfull,94.0
2025-07-15 18:58:30,9205073,threadfull,94.25
2025-07-15 18:58:45,9231570,threadfull,94.5
2025-07-15 18:59:00,9291445,threadfull,94.75
2025-07-15 18:59:15,9319159,threadfull,95.0
2025-07-15 18:59:30,9665996,threadfull,95.25
2025-07-15 18:59:45,9729932,threadfull,95.5
2025-07-15 19:00:00,9640614,threadfull,95.75
2025-07-15 19:00:15,9635651,threadfull,96.0
2025-07-15 19:00:30,9613649,threadfull,96.25
2025-07-15 19:00:45,9584672,threadfull,96.5
2025-07-15 19:01:00,9462053,threadfull,96.75
2025-07-15 19:01:15,9453153,threadfull,97.0
2025-07-15 19:01:30,9201754,threadfull,97.25
2025-07-15 19:01:45,9162493,threadfull,97.5
2025-07-15 19:02:00,9159512,threadfull,97.75
2025-07-15 19:02:15,9174702,threadfull,98.0
2025-07-15 19:02:30,9425656,threadfull,98.25
2025-07-15 19:02:45,9456899,threadfull,98.5
2025-07-15 19:03:00,9352407,threadfull,98.75
2025-07-15 19:03:15,9352407,threadfull,99.0
2025-07-15 19:03:30,9314510,threadfull,99.25
2025-07-15 19:03:45,9311512,threadfull,99.5
2025-07-15 19:04:00,9236316,threadfull,99.75
2025-07-15 19:04:15,9222655,threadfull,100.0
2025-07-15 19:04:30,8692150,threadfull,100.25
2025-07-15 19:04:45,8705625,threadfull,100.5
2025-07-15 19:05:00,8671768,threadfull,100.75
2025-07-15 19:05:15,8707845,threadfull,101.0
2025-07-15 19:05:30,8882096,threadfull,101.25
2025-07-15 19:05:45,8926531,threadfull,101.5
2025-07-15 19:06:00,8922359,threadfull,101.75
2025-07-15 19:06:15,8920420,threadfull,102.0
2025-07-15 19:06:30,8784802,threadfull,102.25
2025-07-15 19:06:45,8785434,threadfull,102.5
2025-07-15 19:07:00,8863323,threadfull,102.75
2025-07-15 19:07:15,8875394,threadfull,103.0
2025-07-15 19:07:30,9205503,threadfull,103.25
2025-07-15 19:07:45,9214817,threadfull,103.5
2025-07-15 19:08:00,9307382,threadfull,103.75
2025-07-15 19:08:15,9313877,threadfull,104.0
2025-07-15 19:08:30,9450100,threadfull,104.25
2025-07-15 19:08:45,9465798,threadfull,104.5
2025-07-15 19:09:00,9320214,threadfull,104.75
2025-07-15 19:09:15,9314231,threadfull,105.0
2025-07-15 19:09:30,8987183,threadfull,105.25
2025-07-15 19:09:45,8935621,threadfull,105.5
2025-07-15 19:10:00,8948091,threadfull,105.75
2025-07-15 19:10:15,8948091,threadfull,106.0
2025-07-15 19:10:30,9261330,threadfull,106.25
2025-07-15 19:10:45,9326990,threadfull,106.5
2025-07-15 19:11:00,9316875,threadfull,106.75
2025-07-15 19:11:15,9322059,threadfull,107.0
2025-07-15 19:11:30,9493171,threadfull,107.25
2025-07-15 19:11:45,9506472,threadfull,107.5
2025-07-15 19:12:00,9418666,threadfull,107.75
2025-07-15 19:12:15,9415700,threadfull,108.0
2025-07-15 19:12:30,9270024,threadfull,108.25
2025-07-15 19:12:45,9296313,threadfull,108.5
2025-07-15 19:13:00,9328653,threadfull,108.75
2025-07-15 19:13:15,9335223,threadfull,109.0
2025-07-15 19:13:30,9632919,threadfull,109.25
2025-07-15 19:13:45,9695417,threadfull,109.5
2025-07-15 19:14:00,9681830,threadfull,109.75
2025-07-15 19:14:15,9684282,threadfull,110.0
2025-07-15 19:14:30,9829315,threadfull,110.25
2025-07-15 19:14:45,9814721,threadfull,110.5
2025-07-15 19:15:00,9612335,threadfull,110.75
2025-07-15 19:15:15,9589586,threadfull,111.0
2025-07-15 19:15:30,9293396,threadfull,111.25
2025-07-15 19:15:45,9215591,threadfull,111.5
2025-07-15 19:16:00,9298392,threadfull,111.75
2025-07-15 19:16:15,9300068,threadfull,112.0
2025-07-15 19:16:30,9367013,threadfull,112.25
2025-07-15 19:16:45,9361878,threadfull,112.5
2025-07-15 19:17:00,9255262,threadfull,112.75
2025-07-15 19:17:15,9227911,threadfull,113.0
2025-07-15 19:17:30,8672872,threadfull,113.25
2025-07-15 19:17:45,8674097,threadfull,113.5
2025-07-15 19:18:00,8999939,threadfull,113.75
2025-07-15 19:18:15,9095673,threadfull,114.0
2025-07-15 19:18:30,10089057,threadfull,114.25
2025-07-15 19:18:45,10115051,threadfull,114.5
2025-07-15 19:19:00,9763438,threadfull,114.75
2025-07-15 19:19:15,9741194,threadfull,115.0
2025-07-15 19:19:30,9215346,threadfull,115.25
2025-07-15 19:19:45,9194736,threadfull,115.5
2025-07-15 19:20:00,9175340,threadfull,115.75
2025-07-15 19:20:15,9162558,threadfull,116.0
2025-07-15 19:20:30,8980692,threadfull,116.25
2025-07-15 19:20:45,8949537,threadfull,116.5
2025-07-15 19:21:00,8923186,threadfull,116.75
2025-07-15 19:21:15,8913061,threadfull,117.0
2025-07-15 19:21:30,8709348,threadfull,117.25
2025-07-15 19:21:45,8713263,threadfull,117.5
2025-07-15 19:22:00,8842241,threadfull,117.75
2025-07-15 19:22:15,8844063,threadfull,118.0
2025-07-15 19:22:30,8858831,threadfull,118.25
2025-07-15 19:22:45,8868148,threadfull,118.5
2025-07-15 19:23:00,8851792,threadfull,118.75
2025-07-15 19:23:15,8849565,threadfull,119.0
2025-07-15 19:23:30,8682174,threadfull,119.25
