Time,connection_1,connection_2,connection_3
2025-05-19 02:57:00,,0,0,
2025-05-19 02:57:15,,0,0,
2025-05-19 02:57:30,,0,0,
2025-05-19 02:57:45,,0,0,
2025-05-19 02:58:00,,0,0,
2025-05-19 02:58:15,,0,0,
2025-05-19 02:58:30,,0,0,
2025-05-19 02:58:45,,0,0,
2025-05-19 02:59:00,,0,0,
2025-05-19 02:59:15,,0,0,
2025-05-19 02:59:30,,0,47,
2025-05-19 02:59:45,,0,47,
2025-05-19 03:00:00,,0,47,
2025-05-19 03:00:15,,0,47,
2025-05-19 03:00:30,,0,47,
2025-05-19 03:00:45,,0,0,
2025-05-19 03:01:00,,0,0,
2025-05-19 03:01:15,,0,0,
2025-05-19 03:01:30,,0,0,
2025-05-19 03:01:45,,,433,
2025-05-19 03:02:00,,,433,
2025-05-19 03:02:15,,,433,
2025-05-19 03:02:30,,,433,
2025-05-19 03:02:45,,,0,
2025-05-19 03:03:00,,,0,
2025-05-19 03:03:15,,,0,
2025-05-19 03:03:30,,,0,
2025-05-19 03:03:45,,,0,
2025-05-19 03:04:00,,,0,
2025-05-19 03:04:15,,,0,
2025-05-19 03:04:30,,,0,
2025-05-19 03:04:45,,,12,
2025-05-19 03:05:00,,,12,
2025-05-19 03:05:15,,,12,
2025-05-19 03:05:30,,,0,
2025-05-19 03:05:45,,,0,
2025-05-19 03:06:00,,,0,
2025-05-19 03:06:15,,,0,
2025-05-19 03:06:30,,,0,
2025-05-19 03:06:45,,,0,
2025-05-19 03:07:00,,,0,
2025-05-19 03:07:15,,,0,
2025-05-19 03:07:30,,,0,
2025-05-19 03:07:45,,,6,
2025-05-19 03:08:00,,,6,
2025-05-19 03:08:15,,,6,
2025-05-19 03:08:30,,,6,
2025-05-19 03:08:45,,2,6,
2025-05-19 03:09:00,,2,6,
2025-05-19 03:09:15,,2,6,
2025-05-19 03:09:30,,2,6,
2025-05-19 03:09:45,,14,0,
2025-05-19 03:10:00,,14,0,
2025-05-19 03:10:15,,14,0,
2025-05-19 03:10:30,,14,0,
2025-05-19 03:10:45,,14,0,
2025-05-19 03:11:00,,14,0,
2025-05-19 03:11:15,,14,0,
2025-05-19 03:11:30,,14,0,
2025-05-19 03:11:45,,14,0,
2025-05-19 03:12:00,,14,0,
2025-05-19 03:12:15,,14,0,
