minutes,blocklatency_disk sda,blocklatency_source,blocklatency_Minutes,readbytes_openeuler-home,readbytes_openeuler-root,readbytes_openeuler-swap,readbytes_sda,readbytes_source,readbytes_Minutes,writebytes_openeuler-home,writebytes_openeuler-root,writebytes_openeuler-swap,writebytes_sda,writebytes_source,writebytes_Minutes
16.25,13.0,MEM_STRESS,16.25,0.0,0.0,0.0,5508.174831585386,MEM_STRESS,16.25,982447.3011606314,4838520.952172371,0.0,5561510.178173179,MEM_STRESS,16.25
16.5,13.0,MEM_STRESS,16.5,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,16.5,903297.5074252168,4819939.03857237,0.0,5688146.460445651,MEM_STRESS,16.5
16.75,13.0,MEM_STRESS,16.75,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,16.75,904042.565687843,4817739.486572371,0.0,6314864.694529081,MEM_STRESS,16.75
17.0,13.0,MEM_STRESS,17.0,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,17.0,925882.5530389792,4856693.825545398,0.0,6370450.7187411785,MEM_STRESS,17.0
17.25,13.0,MEM_STRESS,17.25,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,17.25,985408.4030618024,5061752.275880629,0.0,6321572.652286153,MEM_STRESS,17.25
17.5,13.0,MEM_STRESS,17.5,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,17.5,1149504.4665291049,5062680.220206216,0.0,6206804.812794089,MEM_STRESS,17.5
17.75,13.0,MEM_STRESS,17.75,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,17.75,1141152.844903835,5046505.755710171,0.0,5854803.906187156,MEM_STRESS,17.75
18.0,12.0,MEM_STRESS,18.0,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,18.0,1118622.397942796,5044105.49971017,0.0,5881577.227712183,MEM_STRESS,18.0
18.25,12.0,MEM_STRESS,18.25,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,18.25,1093236.6307457266,4933266.946889164,0.0,5813728.752935809,MEM_STRESS,18.25
18.5,12.0,MEM_STRESS,18.5,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,18.5,946532.3544944212,4923296.318178312,0.0,5818335.069747096,MEM_STRESS,18.5
18.75,13.0,MEM_STRESS,18.75,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,18.75,933710.830860691,4924835.129158705,0.0,5849101.71072865,MEM_STRESS,18.75
19.0,13.0,MEM_STRESS,19.0,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,19.0,935048.8575273578,4899048.724558858,0.0,5794943.452980269,MEM_STRESS,19.0
19.25,13.0,MEM_STRESS,19.25,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,19.25,943039.4518043149,4842019.762526241,0.0,5786375.584744976,MEM_STRESS,19.25
19.5,13.0,MEM_STRESS,19.5,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,19.5,1024013.3853218748,4842626.679790311,0.0,5780881.817760626,MEM_STRESS,19.5
19.75,12.0,MEM_STRESS,19.75,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,19.75,1042275.4143338172,4842626.679790311,0.0,5776255.426926505,MEM_STRESS,19.75
20.0,12.0,MEM_STRESS,20.0,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,20.0,1035304.30789373,4838966.581075159,0.0,5948325.129808839,MEM_STRESS,20.0
20.25,12.0,MEM_STRESS,20.25,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,20.25,1035531.7885152408,4890736.5418097,0.0,6009094.556094553,MEM_STRESS,20.25
20.5,12.0,MEM_STRESS,20.5,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,20.5,1042620.557799978,5023223.956357591,0.0,6197031.643263384,MEM_STRESS,20.5
20.75,12.0,MEM_STRESS,20.75,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,20.75,1028293.0348916712,5150242.061597755,0.0,7097208.026263849,MEM_STRESS,20.75
21.0,13.0,MEM_STRESS,21.0,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,21.0,1029701.3360681416,5361905.912797223,0.0,7075367.471597184,MEM_STRESS,21.0
21.25,13.0,MEM_STRESS,21.25,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,21.25,1022065.3273390912,5718619.736020399,0.0,7025343.602829508,MEM_STRESS,21.25
21.5,13.0,MEM_STRESS,21.5,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,21.5,1022734.5628833482,5629619.377417224,0.0,6341814.774708293,MEM_STRESS,21.5
21.75,13.0,MEM_STRESS,21.75,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,21.75,1001599.591513769,5518520.058560083,0.0,5434284.219743915,MEM_STRESS,21.75
22.0,13.0,MEM_STRESS,22.0,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,22.0,1001599.591513769,5084080.382269152,0.0,5421605.594376393,MEM_STRESS,22.0
22.25,13.0,MEM_STRESS,22.25,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,22.25,993276.1113881724,4391029.720222123,0.0,5376041.772501707,MEM_STRESS,22.25
22.5,13.0,MEM_STRESS,22.5,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,22.5,981584.9571024583,4364050.676666567,0.0,5301141.480503347,MEM_STRESS,22.5
22.75,13.0,MEM_STRESS,22.75,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,22.75,933069.9741576612,4357461.436147086,0.0,5069321.62815329,MEM_STRESS,22.75
23.0,13.0,MEM_STRESS,23.0,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,23.0,934593.4991774026,4362823.782813753,0.0,5081548.18815329,MEM_STRESS,23.0
23.25,13.0,MEM_STRESS,23.25,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,23.25,925521.4177503051,4548167.518732357,0.0,5090811.519708846,MEM_STRESS,23.25
23.5,13.0,MEM_STRESS,23.5,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,23.5,911051.673754399,4523223.647471027,0.0,5293911.680252376,MEM_STRESS,23.5
23.75,13.0,MEM_STRESS,23.75,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,23.75,865307.2927990033,4560522.262888651,0.0,5736866.37439916,MEM_STRESS,23.75
24.0,13.0,MEM_STRESS,24.0,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,24.0,818506.4131099593,4514406.802579015,0.0,5610976.960497691,MEM_STRESS,24.0
24.25,13.0,MEM_STRESS,24.25,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,24.25,818995.5463976467,4518672.234159459,0.0,5630822.836930293,MEM_STRESS,24.25
24.5,13.0,MEM_STRESS,24.5,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,24.5,807438.2813279864,4464645.884786469,0.0,5619474.782823733,MEM_STRESS,24.5
24.75,13.0,MEM_STRESS,24.75,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,24.75,754010.1742918498,4467454.335296273,0.0,5398087.864443221,MEM_STRESS,24.75
25.0,13.0,MEM_STRESS,25.0,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,25.0,768548.1861233768,4446834.892903438,0.0,4879101.581763854,MEM_STRESS,25.0
25.25,13.0,MEM_STRESS,25.25,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,25.25,764847.3243012328,4220138.91211817,0.0,4887375.501763854,MEM_STRESS,25.25
25.5,13.0,MEM_STRESS,25.5,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,25.5,759672.8350891118,4224092.917451504,0.0,4922597.755947004,MEM_STRESS,25.5
25.75,13.0,MEM_STRESS,25.75,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,25.75,741305.1983221477,4245697.800385795,0.0,4975605.507529894,MEM_STRESS,25.75
26.0,13.0,MEM_STRESS,26.0,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,26.0,732265.6392906323,4289987.310527209,0.0,5327007.035776101,MEM_STRESS,26.0
26.25,13.0,MEM_STRESS,26.25,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,26.25,733354.0438844307,4640365.296688392,0.0,5296083.759030443,MEM_STRESS,26.25
26.5,13.0,MEM_STRESS,26.5,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,26.5,730885.5272873573,4647348.976688392,0.0,5291539.350074468,MEM_STRESS,26.5
26.75,13.0,MEM_STRESS,26.75,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,26.75,716720.6030591853,4644453.401267649,0.0,5297062.878404961,MEM_STRESS,26.75
27.0,13.0,MEM_STRESS,27.0,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,27.0,707591.2809474654,4626532.747109371,0.0,5279222.044530757,MEM_STRESS,27.0
27.25,13.0,MEM_STRESS,27.25,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,27.25,705159.1671696878,4496279.363114547,0.0,5204150.711871886,MEM_STRESS,27.25
27.5,13.0,MEM_STRESS,27.5,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,27.5,705493.9630581178,4503712.113660002,0.0,5229908.803581761,MEM_STRESS,27.5
27.75,13.0,MEM_STRESS,27.75,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,27.75,705192.9283871625,4498732.285381613,0.0,5220546.115894764,MEM_STRESS,27.75
28.0,13.0,MEM_STRESS,28.0,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,28.0,709910.1475945206,4496323.156716902,0.0,5164247.936013746,MEM_STRESS,28.0
28.25,13.0,MEM_STRESS,28.25,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,28.25,709910.1475945206,4481869.322128725,0.0,5185029.290572359,MEM_STRESS,28.25
28.5,13.0,MEM_STRESS,28.5,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,28.5,712606.3395945206,4447602.550989276,0.0,5190422.357239026,MEM_STRESS,28.5
28.75,13.0,MEM_STRESS,28.75,0.0,0.0,0.0,5474.975673690647,MEM_STRESS,28.75,715202.9964931089,4432209.1404794725,0.0,5190422.357239026,MEM_STRESS,28.75
